step,train_loss,val_loss,interval_s,total_s
1,5.59375,5.59375,0.739218,0.739218
2,5.28125,5.28125,0.0851689,0.824387
3,5.1875,5.1875,0.0849342,0.909321
4,5.125,5.125,0.0846419,0.993963
5,5.15625,5.15625,0.0811076,1.07507
1,5.59375,5.59375,0.744858,0.744858
2,5.28125,5.28125,0.0965597,0.841418
3,5.1875,5.1875,0.0950631,0.936481
4,5.09375,5.09375,0.0951251,1.03161
5,5.15625,5.15625,0.0945922,1.1262
1,5.59375,5.59375,0.736963,0.736963
2,5.25,5.25,0.0954157,0.832378
3,5.1875,5.1875,0.108304,0.940682
4,5.09375,5.09375,0.0940929,1.03478
5,5.15625,5.15625,0.0977709,1.13255
1,5.5625,5.5625,0.716193,0.716193
2,5.28125,5.28125,0.123458,0.839652
3,5.1875,5.1875,0.117681,0.957333
4,5.125,5.125,0.117099,1.07443
5,5.15625,5.15625,0.122171,1.1966
