step,train_loss,val_loss,interval_s,total_s
100,4.84375,4.90625,9.93733,9.93733
200,4.875,4.90625,9.19522,19.1325
300,4.84375,4.8125,9.26171,28.3943
400,4.84375,4.90625,9.35141,37.7457
500,4.8125,4.875,9.11307,46.8587
600,4.84375,4.9375,9.26596,56.1247
700,4.8125,4.90625,9.23267,65.3574
800,4.78125,4.90625,9.21173,74.5691
900,4.8125,4.90625,9.11788,83.687
1000,4.75,4.9375,9.01495,92.7019
100,4.84375,4.875,12.3165,12.3165
200,4.875,4.9375,11.8761,24.1926
300,4.8125,4.84375,11.8613,36.0539
400,4.84375,4.90625,11.8529,47.9068
500,4.78125,4.875,11.7699,59.6767
600,4.84375,4.96875,11.8146,71.4913
700,4.8125,4.90625,11.7975,83.2888
800,4.75,4.96875,11.7426,95.0313
900,4.75,4.96875,11.7824,106.814
1000,4.78125,4.9375,11.8196,118.633
