step,train_loss,val_loss,interval_s,total_s
100,4.84375,4.84375,11.1934,11.1934
200,4.875,4.875,7.1404,18.3338
300,4.875,4.875,7.0625,25.3963
400,4.84375,4.84375,7.05459,32.4509
500,4.84375,4.875,7.04934,39.5002
600,4.84375,4.84375,7.06414,46.5644
700,4.875,4.875,7.07322,53.6376
800,4.875,4.875,7.11973,60.7573
900,4.8125,4.8125,7.16379,67.9211
1000,4.96875,5.03125,7.12979,75.0509
1100,4.96875,4.96875,7.11977,82.1707
1200,4.875,4.875,7.1897,89.3604
1300,4.75,4.75,7.09105,96.4514
1400,4.90625,4.90625,7.10621,103.558
1500,4.84375,4.875,7.07351,110.631
1600,4.90625,4.90625,7.08601,117.717
1700,4.8125,4.8125,7.07065,124.788
1800,4.90625,4.90625,7.04819,131.836
1900,4.875,4.875,7.02304,138.859
2000,4.90625,4.875,7.05035,145.909
2100,4.8125,4.8125,7.11927,153.029
2200,4.78125,4.78125,7.07668,160.105
2300,4.8125,4.8125,7.12196,167.227
2400,4.84375,4.84375,7.10977,174.337
2500,4.84375,4.9375,7.07564,181.413
2600,4.875,4.875,7.04641,188.459
2700,4.96875,4.96875,7.08321,195.542
2800,4.875,4.875,7.15937,202.702
2900,4.96875,4.96875,7.10496,209.807
3000,4.8125,4.9375,7.05767,216.864
3100,4.9375,4.9375,7.15008,224.014
3200,4.9375,4.9375,7.09812,231.113
3300,7.34375,7.34375,7.10579,238.218
3400,5.25,5.25,7.01994,245.238
3500,5.03125,1.32923e+36,7.1508,252.389
3600,5.09375,5.09375,7.00584,259.395
3700,5.59375,5.59375,7.02341,266.418
3800,5.125,5.125,7.03323,273.452
3900,5.3125,5.3125,7.01377,280.465
4000,5.6875,1.32923e+36,7.06683,287.532
4100,5.59375,5.59375,7.08009,294.612
4200,5.84375,5.84375,7.0509,301.663
4300,7.21875,7.21875,7.0268,308.69
4400,7.875,7.875,7.00215,315.692
4500,7.78125,7.53125,7.05929,322.751
4600,6.5,6.5,7.05575,329.807
4700,5.40625,5.40625,7.08506,336.892
4800,5.34375,5.34375,7.0203,343.913
4900,5.96875,5.96875,7.01732,350.93
5000,5.625,5.96875,7.04492,357.975
5100,10,10,7.15089,365.126
5200,5.65625,5.65625,7.37069,372.496
5300,5.6875,5.6875,7.1357,379.632
5400,9.25,9.25,7.16168,386.794
5500,9,8.875,7.02259,393.816
5600,8.5625,8.5625,7.01762,400.834
5700,8.6875,8.6875,7.20824,408.042
5800,8.5,8.5,7.14207,415.184
5900,7.8125,7.8125,7.17681,422.361
6000,5.3125,5.46875,7.15373,429.515
6100,5.1875,5.1875,7.12921,436.644
6200,5.125,5.125,7.10626,443.75
6300,5.0625,5.0625,7.08174,450.832
6400,4.90625,4.90625,7.03223,457.864
6500,4.9375,4.96875,7.08015,464.944
6600,4.90625,4.90625,7.0739,472.018
50,4.875,4.875,4.26909,4.26909
100,4.84375,4.875,3.54681,7.8159
150,4.84375,4.84375,3.63189,11.4478
200,4.875,4.9375,3.55652,15.0043
250,4.84375,4.84375,3.57394,18.5783
300,4.84375,4.84375,3.56936,22.1476
350,4.84375,4.84375,3.64092,25.7885
400,4.84375,4.875,3.58088,29.3694
450,4.78125,4.78125,3.55685,32.9263
500,4.8125,4.8125,3.49183,36.4181
200,4.875,4.875,15.2957,15.2957
400,4.875,4.875,14.2889,29.5846
600,4.875,4.875,14.3473,43.9319
800,4.8125,4.875,14.3662,58.2981
1000,4.8125,4.875,14.1494,72.4475
1200,4.84375,4.90625,14.3295,86.777
1400,4.8125,4.90625,14.2914,101.068
1600,4.9375,4.84375,14.3121,115.38
1800,4.8125,4.875,14.1908,129.571
2000,4.8125,4.875,14.3728,143.944
200,4.8125,4.84375,15.0488,15.0488
400,4.875,4.90625,14.3302,29.3789
600,5.125,5.03125,14.2403,43.6193
800,4.84375,4.875,14.2953,57.9146
1000,4.84375,4.90625,14.2354,72.15
1200,4.875,4.9375,14.2066,86.3565
