step,train_loss,val_loss,interval_s,total_s
2000,4.84375,4.90625,236.005,236.005
4000,4.65625,4.96875,235.699,471.704
6000,4.65625,4.875,235.121,706.824
8000,4.65625,5.03125,235.637,942.461
10000,4.65625,5,235.354,1177.82
12000,4.71875,5.1875,236.026,1413.84
14000,4.78125,4.96875,236.229,1650.07
16000,4.65625,5.125,235.849,1885.92
18000,4.5625,5.15625,235.383,2121.3
20000,4.625,5.25,236.115,2357.42
22000,4.59375,5.40625,235.384,2592.8
24000,4.5625,5.40625,235.179,2827.98
26000,4.53125,5.3125,236.002,3063.98
28000,4.53125,5.71875,235.96,3299.94
30000,4.625,5.4375,235.916,3535.86
32000,5.03125,5.40625,235.751,3771.61
34000,5.15625,5.53125,236.144,4007.75
36000,5.0625,5.4375,236.501,4244.25
38000,5.0625,5.78125,235.291,4479.54
40000,5.6875,6,235.773,4715.32
42000,5.375,5.8125,236.046,4951.36
44000,5.78125,5.96875,235.538,5186.9
46000,5.8125,5.90625,235.798,5422.7
48000,5.71875,6.34375,236.413,5659.11
50000,6.1875,6.5,235.898,5895.01
52000,5.8125,6.46875,235.948,6130.96
54000,5.90625,6.5625,236.275,6367.23
56000,7.15625,7.1875,236.946,6604.18
58000,6.8125,7.15625,235.711,6839.89
60000,7.59375,6.875,235.318,7075.21
62000,6.75,7.0625,236.221,7311.43
64000,7.8125,7.25,235.461,7546.89
66000,7.8125,7.71875,234.877,7781.77
68000,7.0625,7.28125,235.4,8017.17
70000,6.65625,7.375,235.875,8253.04
72000,7.625,8.125,236.515,8489.56
74000,8.5625,7.96875,235.971,8725.53
76000,8.125,8.875,235.997,8961.53
78000,8.1875,9.0625,235.461,9196.99
80000,7.71875,8.125,235.368,9432.36
