step	train_loss	val_loss	interval_s	total_s	avg_step_s
100	4.84375	4.875	12.4854	12.4854	0.124854
200	4.875	4.9375	11.7812	24.2666	0.121333
300	4.8125	4.84375	11.822	36.0886	0.120295
400	4.84375	4.90625	11.8123	47.9008	0.119752
500	4.78125	4.875	11.7436	59.6444	0.119289
600	4.84375	4.96875	11.7886	71.433	0.119055
700	4.8125	4.90625	11.7439	83.1769	0.118824
800	4.75	4.96875	11.7869	94.9637	0.118705
900	4.75	4.96875	11.8323	106.796	0.118662
1000	4.78125	4.9375	11.794	118.59	0.11859
1100	4.8125	4.90625	11.8799	130.47	0.118609
1200	4.75	4.8125	11.8374	142.307	0.118589
1300	4.84375	4.90625	11.8256	154.133	0.118564
1400	4.84375	4.875	11.8559	165.989	0.118563
1500	4.84375	4.875	11.8289	177.818	0.118545
1600	4.84375	4.8125	11.7572	189.575	0.118484
1700	4.84375	4.84375	11.8372	201.412	0.118478
1800	4.8125	4.78125	11.9116	213.324	0.118513
1900	4.84375	4.875	11.8541	225.178	0.118515
2000	4.84375	4.84375	11.7976	236.976	0.118488
2100	4.875	4.875	11.9446	248.92	0.118533
2200	4.84375	4.875	11.8433	260.763	0.118529
2300	4.84375	4.875	11.804	272.567	0.118508
2400	4.9375	4.9375	11.8105	284.378	0.118491
2500	4.78125	4.8125	11.879	296.257	0.118503
2600	4.78125	4.875	11.8436	308.101	0.1185
2700	4.8125	4.84375	11.9108	320.011	0.118523
2800	4.78125	4.84375	11.81	331.821	0.118508
2900	4.78125	4.8125	11.79	343.611	0.118487
3000	4.90625	4.84375	11.7591	355.371	0.118457
3100	4.84375	4.84375	11.7865	367.157	0.118438
3200	4.8125	4.875	11.8502	379.007	0.11844
3300	4.8125	4.875	11.834	390.841	0.118437
3400	4.8125	4.84375	11.9032	402.744	0.118454
3500	4.8125	4.8125	11.7598	414.504	0.11843
3600	4.78125	4.875	11.7985	426.303	0.118417
3700	4.84375	4.875	11.8355	438.138	0.118416
3800	4.8125	4.875	11.9264	450.065	0.118438
3900	4.78125	4.875	11.8989	461.964	0.118452
4000	4.84375	4.875	11.8511	473.815	0.118454
4100	4.8125	4.84375	11.7752	485.59	0.118437
4200	4.84375	4.84375	11.8723	497.462	0.118443
4300	4.84375	4.875	11.8737	509.336	0.11845
4400	4.84375	4.875	11.8665	521.202	0.118455
4500	4.78125	4.84375	12.1798	533.382	0.118529
4600	4.8125	4.84375	11.8403	545.222	0.118527
4700	4.75	4.875	11.8007	557.023	0.118516
4800	4.84375	4.84375	11.7861	568.809	0.118502
4900	4.71875	4.875	11.781	580.59	0.118488
5000	4.8125	4.875	11.9066	592.497	0.118499
5100	4.78125	4.875	11.8694	604.366	0.118503
100	4.84375	4.875	12.3863	12.3863	0.123863
200	4.875	4.9375	11.8105	24.1968	0.120984
300	4.8125	4.84375	11.9179	36.1147	0.120382
400	4.84375	4.90625	11.783	47.8977	0.119744
500	4.78125	4.875	11.9196	59.8173	0.119635
600	4.84375	4.96875	11.8995	71.7168	0.119528
700	4.8125	4.90625	11.8596	83.5763	0.119395
800	4.75	4.96875	11.8671	95.4434	0.119304
900	4.75	4.96875	11.7517	107.195	0.119106
1000	4.78125	4.9375	11.8092	119.004	0.119004
1100	4.8125	4.90625	11.8823	130.887	0.118988
1200	4.75	4.8125	11.8474	142.734	0.118945
1300	4.84375	4.90625	11.9046	154.639	0.118953
1400	4.84375	4.875	11.8658	166.504	0.118932
1500	4.84375	4.875	11.8387	178.343	0.118895
1600	4.84375	4.8125	11.9198	190.263	0.118914
1700	4.84375	4.84375	11.9091	202.172	0.118925
1800	4.8125	4.78125	11.7821	213.954	0.118863
1900	4.84375	4.875	11.7501	225.704	0.118792
2000	4.84375	4.84375	11.7125	237.417	0.118708
2100	4.875	4.875	11.9357	249.352	0.118739
2200	4.84375	4.875	11.8967	261.249	0.11875
2300	4.84375	4.875	11.9054	273.154	0.118763
