tensor	shape	abs_err_L2	rel_err_L2	rel_err_L2_eps	abs_err_L1	rel_err_L1	max_ref	max_pt	max_diff	cos_sim
layer1_wk_bias_grad.bin	1x1x128	5.173e-05	1.00276	0.983689	0.000585258	1.00276	-4.55976e-06	1.25729e-08	4.57233e-06	-1
layer0_wk_bias_grad.bin	1x1x128	1.30471e-05	0.967383	0.900607	0.000147611	0.967383	1.19209e-06	3.88827e-08	-1.15321e-06	1
tok_plus_pos_grad.bin	256x32x128	0.681054	0.914208	0.914207	86.3729	0.919022	0.00598145	0.000110626	0.0132599	0.469202
layer0_ln2_alpha_grad.bin	1	0.0146942	0.841783	0.841735	0.0146942	0.841783	0.0174561	0.00276184	-0.0146942	1
layer1_wo_weight_grad.bin	128x128	0.00427564	0.695976	0.695863	0.547279	0.695977	-4.74453e-05	-1.42455e-05	3.3617e-05	0.999991
layer1_wv_weight_grad.bin	128x128	0.00431164	0.695896	0.695783	0.549583	0.697014	-3.57628e-05	-9.29832e-06	3.92199e-05	0.999075
layer1_wk_weight_grad.bin	128x128	0.00255239	0.668625	0.66845	0.325462	0.668678	3.60012e-05	1.19805e-05	-1.54376e-05	0.999977
layer1_wq_weight_grad.bin	128x128	0.00405729	0.666035	0.665926	0.425568	0.665885	0.000105381	3.50475e-05	3.3617e-05	0.999966
layer1_wq_bias_grad.bin	1x1x128	0.00951642	0.664157	0.66411	0.107666	0.664157	-0.00126648	-0.000425339	0.000841141	1
layer0_ffn_w1_weight_grad.bin	512x128	0.0256625	0.659957	0.65994	5.57259	0.660886	0.00031662	0.000106812	0.000202179	0.998581
layer0_ln2_gamma_grad.bin	1x1x128	0.0115556	0.658509	0.658471	0.110934	0.659582	0.0032196	0.00109863	0.00205994	0.998589
layer1_ln1_alpha_grad.bin	1	0.00614929	0.658497	0.658426	0.00614929	0.658497	0.00933838	0.00318909	-0.00614929	1
layer0_wk_weight_grad.bin	128x128	0.000859631	0.658439	0.657935	0.0888916	0.660118	2.6226e-05	8.76188e-06	1.55568e-05	0.995101
layer1_ln1_gamma_grad.bin	1x1x128	0.000877157	0.655063	0.654574	0.00844746	0.655972	0.000259399	9.15527e-05	0.000144482	0.997186
layer0_ln1_beta_grad.bin	1x1x128	2.92786	0.646341	0.646341	33.125	0.646341	-0.400391	-0.141602	0.258789	1
layer0_ffn_w1_bias_grad.bin	1x1x512	0.0801019	0.644444	0.644439	1.8125	0.644444	-0.00549316	-0.00195312	0.00354004	1
layer1_ln1_beta_grad.bin	1x1x128	0.0306424	0.643116	0.643102	0.34668	0.643116	-0.00421143	-0.00150299	0.00270844	1
layer0_ffn_w2_bias_grad.bin	1x1x128	0.0312886	0.643097	0.643083	0.353989	0.643095	-0.00427246	-0.00153351	0.00276947	0.999997
layer0_wv_bias_grad.bin	1x1x128	1.12143	0.642405	0.642405	12.6875	0.642405	-0.154297	-0.0551758	0.0991211	1
layer0_ln2_beta_grad.bin	1x1x128	0.406034	0.641921	0.64192	4.59375	0.641921	-0.0559082	-0.0200195	0.0358887	1
layer0_wo_bias_grad.bin	1x1x128	0.437928	0.64189	0.64189	4.95459	0.64189	-0.0603027	-0.0214844	0.0388184	0.999999
layer0_ln1_gamma_grad.bin	1x1x128	0.0331778	0.641354	0.641342	0.308944	0.63983	0.0100098	0.00338745	0.00639343	0.987442
layer0_wv_weight_grad.bin	128x128	0.143392	0.636962	0.63696	15.1225	0.635574	0.0038147	0.00131226	0.00245667	0.987236
layer0_wq_weight_grad.bin	128x128	0.00113901	0.619995	0.619658	0.124007	0.620172	3.17097e-05	1.20997e-05	1.68681e-05	0.999982
layer0_wq_bias_grad.bin	1x1x128	0.00335556	0.617063	0.61695	0.0379639	0.617063	-0.000480652	-0.000184059	0.000296593	1
layer0_ffn_w2_weight_grad.bin	128x512	0.000980128	0.61194	0.611558	0.25087	0.611963	6.52671e-06	2.563e-06	-3.66569e-06	0.999989
layer1_ln2_alpha_grad.bin	1	0.00540161	0.602041	0.601974	0.00540161	0.602041	-0.00897217	-0.00357056	0.00540161	1
tok_weight_grad.bin	1x1x160x128	0.953589	0.586075	0.586075	42.0238	0.718025	0.00512695	0.000124931	0.0661621	0.96891
layer1_ln2_beta_grad.bin	1x1x128	0.00385188	0.583333	0.583245	0.0435791	0.583333	-0.000583649	-0.000243187	0.000340462	1
layer1_ffn_w1_bias_grad.bin	1x1x512	0.000747179	0.581933	0.58148	0.0169067	0.581933	-5.67436e-05	-2.37226e-05	3.3021e-05	1
layer1_ln2_gamma_grad.bin	1x1x128	0.00389426	0.574263	0.574178	0.0440578	0.574259	-0.000595093	-0.000253677	0.000347137	0.999995
layer1_ffn_w1_weight_grad.bin	512x128	0.00852512	0.572032	0.571994	2.18237	0.572023	-5.76973e-05	-2.46763e-05	3.3617e-05	1.00001
layer1_ffn_w2_weight_grad.bin	128x512	0.00704991	0.568967	0.568921	1.80469	0.568966	-4.8399e-05	-2.08616e-05	2.75373e-05	0.999968
layer1_wv_bias_grad.bin	1x1x128	0.00230897	0.557292	0.557157	0.026123	0.557292	-0.000366211	-0.000162125	0.000204086	1
layer1_wo_bias_grad.bin	1x1x128	0.000900106	0.55632	0.555976	0.0101798	0.556269	-0.000135422	-6.07967e-05	8.39233e-05	0.999987
layer0_ln1_alpha_grad.bin	1	0.015686	0.551502	0.551483	0.015686	0.551502	-0.0284424	-0.0127563	0.015686	1
layer0_wo_weight_grad.bin	128x128	0.00633552	0.544222	0.544175	0.810944	0.544216	-9.05991e-05	-4.12464e-05	4.98295e-05	1.00001
pos_weight_grad.bin	1x1x32x128	1.04541	0.53262	0.53262	22.7578	0.527717	0	0	0.0661621	0.998726
layer1_ffn_w2_bias_grad.bin	1x1x128	0.000333129	0.516736	0.515936	0.00376892	0.516736	-5.6982e-05	-2.75373e-05	2.94447e-05	1
layer1_attn_scores.bin	256x32x32	3353.4	0.368295	0.368295	1.28627e+06	0.378688	135	122.5	18	0.993933
layer0_ffn_w2.bin	256x32x128	86.0817	0.240651	0.240651	76764.9	0.25061	1.69531	1.42969	0.00189209	0.996522
layer0_ffn_gelu.bin	256x32x512	16.7321	0.239952	0.239952	29895.7	0.250235	0.164062	0.139648	0.00018692	0.996661
layer0_output.bin	256x32x128	86.3342	0.227901	0.227901	77002.2	0.237091	1.84375	1.57812	0.00244141	0.996674
layer1_input.bin	256x32x128	86.3342	0.227901	0.227901	77002.2	0.237091	1.84375	1.57812	0.00244141	0.996674
layer1_wk.bin	256x32x128	188.299	0.21286	0.21286	173727	0.223277	2.4375	2.32812	0.00524902	0.996437
layer1_wq.bin	256x32x128	188.299	0.21286	0.21286	173727	0.223277	2.4375	2.32812	0.00524902	0.996437
layer1_wv.bin	256x32x128	188.299	0.21286	0.21286	173727	0.223277	2.4375	2.32812	0.00524902	0.996437
layer1_ln1.bin	256x32x128	71.4131	0.207617	0.207617	65995.3	0.217961	0.949219	0.917969	0.00244141	0.996246
layer1_residual1.bin	256x32x128	749.439	0.191095	0.191095	740128	0.205431	8.0625	7.5625	-0.00170898	0.993693
layer1_wo.bin	256x32x128	672.648	0.188139	0.188139	661749	0.201839	6.34375	5.96875	-0.00195312	0.993227
layer1_attn_out.bin	256x32x128	254.144	0.183329	0.183329	249929	0.196683	2.4375	2.32812	-0.000793457	0.993231
layer1_attn_weights.bin	256x32x32	12.4328	0.160422	0.160422	1479.49	0.181525	0.992188	1	0.429688	0.988009
output_weight_grad.bin	160x128	1.84447	0.131282	0.131282	170.455	0.108941	0.097168	0.102539	0.065918	0.991786
layer1_ffn_w1.bin	256x32x512	568.244	0.114016	0.114016	625740	0.0627224	2.57812	2.5625	0	0.992047
layer1_ln2.bin	256x32x128	109.39	0.113336	0.113336	55040.3	0.056914	1	1	0	0.993656
logits.bin	256x32x160	7196.16	0.0883276	0.0883276	5.49515e+06	0.0620336	87	86	1.57812	0.996934
layer1_ffn_w2.bin	256x32x128	2106.07	0.0861137	0.0861137	1.11699e+06	0.0469428	25.75	26.125	1.42383	0.995856
layer1_ffn_gelu.bin	256x32x512	412.942	0.0855521	0.0855521	406538	0.0433099	2.54688	2.54688	0.138794	0.995136
layer1_output.bin	256x32x128	2366.76	0.083983	0.083983	1.46997e+06	0.0536319	33.75	33.75	0.617188	0.997187
layer0_wo.bin	256x32x128	0.167115	0.0109195	0.0109195	132.007	0.00985847	0.0800781	0.0800781	0.000732422	1.00003
layer0_attn_scores.bin	256x32x32	0.0297002	0.0105916	0.0105916	8.80065	0.00976398	0.0390625	0.0390625	0.000488281	0.999946
layer0_ffn_w1.bin	256x32x512	1.07066	0.0104557	0.0104557	1659.84	0.0093402	0.237305	0.235352	0.00195312	0.999593
