step	metric	cpp_l2	torch_l2	abs_diff_l2	rel_diff_l2	cpp_l1	torch_l1	abs_diff_l1	rel_diff_l1
1	layer0_attn_out	1627.91	1635.68	7.77054	0.00477332	1.34463e+06	1.3508e+06	6169.25	0.00458807
2	layer0_attn_out	1625.8	1633.78	7.97551	0.00490559	1.34319e+06	1.34954e+06	6349	0.00472681
3	layer0_attn_out	1633.85	1642.24	8.39268	0.00513675	1.34959e+06	1.35618e+06	6586.5	0.00488037
4	layer0_attn_out	1629.07	1637.34	8.26533	0.00507365	1.3458e+06	1.35233e+06	6531.12	0.00485297
5	layer0_attn_out	1631.79	1639.83	8.04325	0.0049291	1.34849e+06	1.35486e+06	6370	0.0047238
6	layer0_attn_out	1631.47	1640.08	8.60812	0.0052763	1.34815e+06	1.35494e+06	6789	0.00503579
7	layer0_attn_out	1638.33	1646.66	8.33174	0.00508551	1.35244e+06	1.35899e+06	6552	0.00484458
8	layer0_attn_out	1635.24	1644.04	8.80333	0.00538351	1.35193e+06	1.35895e+06	7017.5	0.00519073
9	layer0_attn_out	1631.78	1640.58	8.80484	0.00539585	1.34856e+06	1.3556e+06	7044.12	0.00522344
10	layer0_attn_out	1634.81	1643.83	9.01788	0.00551616	1.35122e+06	1.35839e+06	7173	0.00530854
1	layer0_ffn_w2	3444.68	3453.5	8.82171	0.00256097	2.66442e+06	2.66992e+06	5500.75	0.00206452
2	layer0_ffn_w2	3440.88	3449.2	8.31922	0.00241776	2.66099e+06	2.66619e+06	5201.25	0.00195463
3	layer0_ffn_w2	3442.15	3450.24	8.08877	0.00234992	2.66135e+06	2.6663e+06	4952.5	0.0018609
4	layer0_ffn_w2	3445.75	3453.82	8.07007	0.00234204	2.66532e+06	2.67025e+06	4925.5	0.001848
5	layer0_ffn_w2	3443.67	3451.78	8.11467	0.0023564	2.66346e+06	2.66849e+06	5028.25	0.00188786
6	layer0_ffn_w2	3443.96	3451.85	7.88521	0.00228958	2.66274e+06	2.66757e+06	4834.75	0.0018157
7	layer0_ffn_w2	3448.42	3456.91	8.4882	0.00246148	2.66717e+06	2.67244e+06	5272.75	0.00197691
8	layer0_ffn_w2	3445.05	3452.92	7.86895	0.00228413	2.66468e+06	2.66945e+06	4771	0.00179046
9	layer0_ffn_w2	3443.99	3451.69	7.69726	0.00223498	2.66409e+06	2.66872e+06	4629	0.00173755
10	layer0_ffn_w2	3443.22	3450.71	7.48728	0.0021745	2.66337e+06	2.66772e+06	4349.75	0.00163318
1	layer0_ln1	1023.95	1024.11	0.158398	0.000154694	858461	858623	161.75	0.000188419
2	layer0_ln1	1023.96	1024.11	0.149253	0.000145761	858393	858546	152.625	0.000177803
3	layer0_ln1	1023.95	1024.11	0.157788	0.000154097	858412	858567	155	0.000180566
4	layer0_ln1	1023.95	1024.11	0.158398	0.000154694	858389	858538	149.25	0.000173872
5	layer0_ln1	1023.95	1024.11	0.160962	0.000157197	858420	858580	159.75	0.000186098
6	layer0_ln1	1023.95	1024.11	0.161694	0.000157912	858505	858666	160.875	0.00018739
7	layer0_ln1	1023.96	1024.11	0.149497	0.000145999	858569	858717	148.125	0.000172525
8	layer0_ln1	1023.97	1024.11	0.139741	0.00013647	858378	858521	142.75	0.000166302
9	layer0_ln1	1023.95	1024.11	0.159497	0.000155766	858475	858628	152.875	0.000178077
10	layer0_ln1	1023.94	1024.12	0.179629	0.000175429	858518	858689	170.938	0.000199108
1	layer0_ln2	1022.85	1024.05	1.19529	0.00116859	846484	847600	1116.25	0.00131869
2	layer0_ln2	1022.82	1024.05	1.22871	0.00120129	846469	847598	1128.56	0.00133326
3	layer0_ln2	1022.87	1024.04	1.1715	0.00114531	846197	847271	1073.88	0.00126906
4	layer0_ln2	1022.93	1024.05	1.11834	0.00109327	846123	847158	1034.75	0.00122293
5	layer0_ln2	1022.93	1024.06	1.12652	0.00110127	846306	847357	1050.81	0.00124165
6	layer0_ln2	1022.92	1024.05	1.13066	0.00110533	846393	847451	1058.12	0.00125016
7	layer0_ln2	1022.9	1024.06	1.15676	0.00113087	846097	847173	1076.44	0.00127224
8	layer0_ln2	1022.88	1024.05	1.17042	0.00114423	846221	847388	1166.88	0.00137892
9	layer0_ln2	1022.91	1024.06	1.15458	0.00112872	846356	847504	1147.62	0.00135596
10	layer0_ln2	1022.93	1024.06	1.12688	0.00110162	846258	847383	1124.94	0.00132931
1	layer0_output	4277.88	4283.32	5.43934	0.0012715	3.47882e+06	3.48229e+06	3466	0.000996315
2	layer0_output	4271.56	4276.68	5.11773	0.00119809	3.47316e+06	3.47648e+06	3316.5	0.000954894
3	layer0_output	4277.37	4282.72	5.34777	0.00125025	3.47832e+06	3.48191e+06	3585.75	0.00103089
4	layer0_output	4270.42	4275.44	5.01896	0.00117529	3.47195e+06	3.47526e+06	3306.5	0.000952347
5	layer0_output	4274.14	4279.16	5.02064	0.00117466	3.47474e+06	3.478e+06	3261.75	0.000938703
6	layer0_output	4275.32	4280.43	5.1092	0.00119504	3.47577e+06	3.47919e+06	3420	0.000983955
7	layer0_output	4276.1	4281.47	5.37021	0.00125587	3.47757e+06	3.48113e+06	3563	0.00102457
8	layer0_output	4274.88	4280.54	5.65711	0.00132334	3.47502e+06	3.47896e+06	3937.5	0.00113309
9	layer0_output	4277.01	4282.66	5.64967	0.00132094	3.47633e+06	3.48021e+06	3879.5	0.00111598
10	layer0_output	4280.46	4286.09	5.62936	0.00131513	3.48058e+06	3.48435e+06	3768.5	0.00108272
1	layer1_attn_out	929.223	936.564	7.34133	0.00790051	766701	772228	5526.62	0.00720832
2	layer1_attn_out	926.831	934.291	7.46014	0.00804908	764868	770519	5651.31	0.00738861
3	layer1_attn_out	928.62	935.803	7.1831	0.00773524	766138	771518	5380.5	0.00702289
4	layer1_attn_out	926.173	933.458	7.28544	0.00786617	764515	770018	5503.44	0.0071986
5	layer1_attn_out	929.033	936.145	7.11178	0.00765503	766615	772015	5400.19	0.0070442
6	layer1_attn_out	928.845	936.222	7.37656	0.00794165	766364	771937	5573.12	0.00727216
7	layer1_attn_out	927.55	934.927	7.37731	0.00795354	766050	771615	5565.19	0.00726478
8	layer1_attn_out	929.014	936.344	7.33018	0.00789028	766582	772135	5553.19	0.00724409
9	layer1_attn_out	927.119	934.545	7.42647	0.00801027	765570	771238	5668.38	0.00740412
10	layer1_attn_out	934.178	941.525	7.34666	0.0078643	771049	776605	5556.31	0.00720617
1	layer1_ffn_w2	2182.25	2188.31	6.05615	0.00277519	1.62074e+06	1.6245e+06	3762.75	0.00232162
2	layer1_ffn_w2	2179.62	2185.74	6.11535	0.0028057	1.61857e+06	1.62236e+06	3791	0.00234219
3	layer1_ffn_w2	2179.46	2185.18	5.72433	0.00262649	1.61796e+06	1.62152e+06	3562.88	0.00220208
4	layer1_ffn_w2	2180.13	2186.23	6.09583	0.00279609	1.61844e+06	1.62227e+06	3829.75	0.00236632
5	layer1_ffn_w2	2177.74	2183.68	5.93505	0.00272532	1.61678e+06	1.62052e+06	3739	0.00231262
6	layer1_ffn_w2	2177.33	2183.33	6.00496	0.00275795	1.61689e+06	1.6206e+06	3708	0.00229329
7	layer1_ffn_w2	2181.88	2187.66	5.7804	0.00264928	1.62042e+06	1.62402e+06	3603.5	0.00222381
8	layer1_ffn_w2	2179.82	2185.23	5.41193	0.00248274	1.61855e+06	1.62186e+06	3306	0.00204257
9	layer1_ffn_w2	2180.98	2186.37	5.3867	0.00246985	1.61906e+06	1.62234e+06	3280.38	0.0020261
10	layer1_ffn_w2	2180.86	2186.01	5.15001	0.00236146	1.61936e+06	1.62251e+06	3153.5	0.00194737
1	layer1_ln1	1022.61	1024.04	1.43041	0.00139878	837534	838537	1002.88	0.00119741
2	layer1_ln1	1022.57	1024.05	1.47932	0.00144667	837519	838586	1066.75	0.0012737
3	layer1_ln1	1022.67	1024.04	1.37382	0.00134337	837685	838662	977.188	0.00116653
4	layer1_ln1	1022.46	1024.05	1.58846	0.00155357	837467	838624	1156.88	0.0013814
5	layer1_ln1	1022.67	1024.05	1.37541	0.00134492	837336	838306	969.562	0.00115791
6	layer1_ln1	1022.61	1024.04	1.42821	0.00139663	837359	838398	1038.69	0.00124043
7	layer1_ln1	1022.51	1024.04	1.53053	0.00149683	837487	838606	1119.19	0.00133636
8	layer1_ln1	1022.49	1024.03	1.54308	0.00150914	837139	838305	1166.25	0.00139314
9	layer1_ln1	1022.44	1024.04	1.60077	0.00156564	836918	838111	1193.38	0.00142592
10	layer1_ln1	1022.57	1024.04	1.47089	0.00143843	837326	838401	1075.31	0.00128422
1	layer1_ln2	1022.59	1024.03	1.44394	0.00141204	830970	832014	1043.75	0.00125606
2	layer1_ln2	1022.62	1024.04	1.41992	0.00138851	830961	832006	1045.44	0.00125811
3	layer1_ln2	1022.67	1024.04	1.37004	0.00133967	831221	832248	1026.88	0.00123538
4	layer1_ln2	1022.62	1024.04	1.42126	0.00138982	831247	832333	1085.62	0.00130602
5	layer1_ln2	1022.63	1024.04	1.40601	0.0013749	831016	832056	1040	0.00125148
6	layer1_ln2	1022.64	1024.03	1.39442	0.00136355	830848	831902	1054.06	0.00126866
