step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
1	1456.06	1.22901e+06	758.087	713424	1200.28	953435	799.786	758547	2899.2	2.21913e+06	3569.93	2.8719e+06	898.295	879189	799.665	660967	897.687	879370	2292.56	1.70681e+06	5170.75	3.94092e+06	6858.85	6.13803e+06
2	1455.29	1.22836e+06	757.935	713318	1199.11	952163	799.434	758119	2896.64	2.21777e+06	3566.55	2.86867e+06	898.183	879097	797.141	658805	897.675	879468	2289.53	1.70392e+06	5167.98	3.93698e+06	6832.42	6.114e+06
3	1455.89	1.22888e+06	758.053	713435	1206.6	958155	799.687	758340	2893.44	2.21418e+06	3567.24	2.86849e+06	898.114	878967	800.484	661448	897.653	879485	2288.41	1.70275e+06	5169.48	3.93926e+06	6812.26	6.09472e+06
4	1455.7	1.22859e+06	757.957	713275	1204.58	956302	799.243	757798	2893.93	2.21584e+06	3562.69	2.86448e+06	897.983	878849	797.176	659369	897.27	878890	2279.9	1.69676e+06	5161.59	3.93117e+06	6793.62	6.0789e+06
5	1456.02	1.22899e+06	758.078	713460	1202.34	955293	799.387	757980	2886.8	2.21045e+06	3558.61	2.86171e+06	897.801	878664	798.837	660471	897.285	878974	2283.55	1.69884e+06	5161.91	3.93271e+06	6783.04	6.06877e+06
6	1456.04	1.22912e+06	758.147	713577	1206.9	958512	799.558	758209	2885.65	2.20908e+06	3559.54	2.86185e+06	897.845	878842	801.368	662139	897.224	878864	2282.36	1.69823e+06	5162.52	3.93288e+06	6771.56	6.0566e+06
7	1456.21	1.22936e+06	758.225	713704	1211.62	961913	799.388	757948	2881.74	2.20709e+06	3554.82	2.85873e+06	897.769	878775	798.374	659961	897.079	878687	2281.63	1.69695e+06	5154.27	3.92817e+06	6760.56	6.04388e+06
8	1456.17	1.22906e+06	758.075	713446	1210.14	960895	799.649	758353	2882.28	2.20719e+06	3557.1	2.85963e+06	897.678	878653	802.501	663327	897.1	878752	2281	1.69738e+06	5162.17	3.93167e+06	6762.04	6.04353e+06
9	1456.12	1.22913e+06	758.122	713561	1204.68	956159	799.529	758224	2873.82	2.20186e+06	3550.61	2.85491e+06	897.502	878415	798.411	660413	897.009	878605	2282.94	1.69777e+06	5155.03	3.92756e+06	6742.92	6.02541e+06
10	1456.68	1.22968e+06	758.27	713704	1209.66	960691	799.711	758349	2873.76	2.20154e+06	3554.39	2.85867e+06	897.726	878707	805.806	666589	897.265	878959	2283.63	1.69846e+06	5160.38	3.93415e+06	6742.78	6.02485e+06
