metric	max_rel_l2	step_max_rel_l2	max_rel_l1	step_max_rel_l1
layer0_attn_out	0.00551616	10	0.00530854	10
layer0_ffn_w2	0.00256097	1	0.00206452	1
layer0_ln1	0.000175429	10	0.000199108	10
layer0_ln2	0.00120129	2	0.00137892	8
layer0_output	0.00132334	8	0.00113309	8
layer1_attn_out	0.00804908	2	0.00740412	9
layer1_ffn_w2	0.0028057	2	0.00236632	4
layer1_ln1	0.00156564	9	0.00142592	9
layer1_ln2	0.00141204	1	0.0013576	8
layer1_output	0.000758354	1	0.000759793	2
logits	0.000579858	1	0.000668868	1
tok_plus_pos	0.000925342	2	0.000844317	2
