step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
1	1454.719482421875	1227973.375	1024.1083984375	858622.75	1635.6805419921875	1350799.25	1024.0452880859375	847600.25	3453.501708984375	2669920.75	4283.3193359375	3482286.0	1024.0404052734375	838536.875	936.5643310546875	772227.625	1024.033935546875	832013.75	2188.30615234375	1624502.75	5711.5380859375	4440558.0	1260.1903076171875	1150659.125
2	1453.943359375	1227322.875	1024.1092529296875	858545.625	1633.7755126953125	1349539.0	1024.0487060546875	847597.5625	3449.19921875	2666191.25	4276.677734375	3476476.5	1024.04931640625	838585.75	934.2911376953125	770519.3125	1024.0399169921875	832006.4375	2185.7353515625	1622361.0	5705.359375	4434837.0	1259.4801025390625	1150136.75
3	1454.549072265625	1227843.75	1024.1077880859375	858567.0	1642.24267578125	1356176.5	1024.04150390625	847270.875	3450.23876953125	2666302.5	4282.7177734375	3481905.75	1024.0438232421875	838662.1875	935.8031005859375	771518.5	1024.0400390625	832247.875	2185.184326171875	1621522.875	5708.84228515625	4439833.5	1258.4775390625	1149035.25
4	1454.3602294921875	1227557.0	1024.1083984375	858538.25	1637.3353271484375	1352331.125	1024.04833984375	847157.75	3453.820068359375	2670245.5	4275.43896484375	3475256.5	1024.0484619140625	838623.875	933.4584350585938	770018.4375	1024.041259765625	832332.625	2186.225830078125	1622269.75	5701.8701171875	4433086.0	1258.56591796875	1149893.625
5	1454.6800537109375	1227950.5	1024.1109619140625	858579.75	1639.833251953125	1354860.0	1024.0565185546875	847356.8125	3451.78466796875	2668488.25	4279.16064453125	3478001.75	1024.04541015625	838305.5625	936.144775390625	772015.1875	1024.0360107421875	832056.0	2183.675048828125	1620519.0	5705.99658203125	4436911.0	1258.308837890625	1149312.375
6	1454.6927490234375	1228087.75	1024.1116943359375	858665.875	1640.078125	1354939.0	1024.0506591796875	847451.125	3451.84521484375	2667574.75	4280.42919921875	3479190.0	1024.0382080078125	838397.6875	936.2215576171875	771937.125	1024.034423828125	831902.0625	2183.3349609375	1620598.0	5707.4375	4437188.5	1258.4520263671875	1149247.5
7	1454.8656005859375	1228328.625	1024.1094970703125	858717.125	1646.6617431640625	1358992.0	1024.0567626953125	847173.4375	3456.908203125	2672442.75	4281.47021484375	3481133.0	1024.04052734375	838606.1875	934.9273071289062	771615.1875	1024.03076171875	832440.5	2187.660400390625	1624023.5	5706.1416015625	4438122.0	1259.473876953125	1150375.0
8	1454.8258056640625	1228024.625	1024.1097412109375	858520.75	1644.0433349609375	1358947.5	1024.0504150390625	847387.875	3452.9189453125	2669451.0	4280.537109375	3478957.5	1024.0330810546875	838305.25	936.3441772460938	772135.1875	1024.0374755859375	831958.9375	2185.23193359375	1621856.0	5706.947265625	4435964.5	1258.67236328125	1149712.625
9	1454.77392578125	1228094.5	1024.1094970703125	858627.875	1640.5848388671875	1355604.125	1024.0645751953125	847503.625	3451.687255859375	2668719.0	4282.65966796875	3480209.5	1024.040771484375	838111.375	934.5454711914062	771238.375	1024.0330810546875	831794.875	2186.36669921875	1622340.375	5712.34228515625	4440059.5	1258.9720458984375	1149673.875
10	1455.33935546875	1228648.0	1024.11962890625	858688.9375	1643.827880859375	1358393.0	1024.056884765625	847382.9375	3450.707275390625	2667719.75	4286.08935546875	3484348.5	1024.0408935546875	838401.3125	941.524658203125	776605.3125	1024.0423583984375	832048.4375	2186.010009765625	1622513.5	5716.57958984375	4446043.0	1258.7032470703125	1149174.25
