step	loss_cpp	loss_torch	abs_diff	rel_diff	grad_norm_cpp	grad_norm_torch_bf16	grad_norm_abs_diff	grad_norm_rel_diff	grad_norm_torch_fp32	grad_norm_fp32_abs_diff	grad_norm_fp32_rel_diff
1	5.09375	5.0625	0.03125	0.00613497	13.9392	13.6846	0.254566	0.0182626	13.6846	0.254566	0.0182626
2	5.125	5.125	0	0	19.8607	15.1354	4.72529	0.237922	15.1354	4.72529	0.237922
3	5.125	5.09375	0.03125	0.00609756	25.7151	16.6366	9.07852	0.353043	16.6366	9.07852	0.353043
4	5.1875	5.09375	0.09375	0.0180723	31.7958	16.7493	15.0465	0.473222	16.7493	15.0465	0.473222
5	5.21875	5.09375	0.125	0.0239521	29.9338	12.7056	17.2282	0.575543	12.7056	17.2282	0.575543
6	5.1875	5.125	0.0625	0.0120482	34.0477	14.3548	19.6929	0.578392	14.3548	19.6929	0.578392
7	5.03125	5.09375	0.0625	0.0124224	25.3341	9.96894	15.3652	0.606501	9.96894	15.3652	0.606501
8	5.1875	5.09375	0.09375	0.0180723	28.7102	11.0353	17.6749	0.615631	11.0353	17.6749	0.615631
9	5.09375	5.09375	0	0	28.9856	10.3389	18.6467	0.64331	10.3389	18.6467	0.64331
10	5.34375	5.0625	0.28125	0.0526316	70.7354	10.7669	59.9685	0.847786	10.7669	59.9685	0.847786
