step	train_loss	val_loss	interval_s	total_s	avg_step_s
10	4	3.95312	1.69855	1.69855	0.169855
20	3.82812	3.9375	1.14164	2.84018	0.142009
30	3.84375	3.95312	1.13353	3.97372	0.132457
40	3.75	3.875	1.13616	5.10988	0.127747
50	3.8125	3.90625	1.12704	6.23692	0.124738
60	3.78125	3.92188	1.13267	7.36959	0.122826
70	3.82812	3.9375	1.13887	8.50845	0.121549
80	3.75	3.9375	1.11736	9.62581	0.120323
90	3.6875	3.98438	1.1407	10.7665	0.119628
100	3.73438	4.03125	1.143	11.9095	0.119095
110	3.67188	4.0625	1.12991	13.0394	0.11854
120	3.70312	3.96875	1.15317	14.1926	0.118271
130	3.70312	4.125	1.13315	15.3257	0.11789
140	3.65625	4.21875	1.12508	16.4508	0.117506
150	3.54688	4.21875	1.125	17.5758	0.117172
160	3.64062	4.28125	1.14619	18.722	0.117012
170	3.5	4.375	1.11765	19.8396	0.116704
180	3.375	4.34375	1.14913	20.9888	0.116604
190	3.40625	4.59375	1.15538	22.1442	0.116548
200	3.23438	4.5	1.14014	23.2843	0.116421
210	3.17188	4.71875	1.12951	24.4138	0.116256
220	3.17188	4.8125	1.14154	25.5553	0.116161
230	3.21875	4.8125	1.12672	26.6821	0.116009
240	3.0625	4.96875	1.15397	27.836	0.115983
250	3.04688	5	1.12216	28.9582	0.115833
260	2.89062	5.21875	1.12806	30.0862	0.115716
270	2.95312	5.1875	1.14223	31.2285	0.115661
280	2.625	5.09375	1.14867	32.3771	0.115633
290	2.57812	5.46875	1.11977	33.4969	0.115507
300	2.42188	5.8125	1.13358	34.6305	0.115435
310	2.5625	5.625	1.12976	35.7603	0.115356
320	2.20312	5.84375	1.14987	36.9101	0.115344
330	2.375	5.8125	1.12103	38.0311	0.115246
340	2.25	6.3125	1.13195	39.1631	0.115186
350	2.15625	6.25	1.12382	40.2869	0.115105
360	1.91406	6.0625	1.13098	41.4179	0.11505
370	1.8125	6.1875	1.15307	42.571	0.115057
380	1.75	6.4375	1.15767	43.7286	0.115075
390	1.78125	6.875	1.16931	44.8979	0.115123
400	1.48438	6.78125	1.16773	46.0657	0.115164
410	1.40625	7.0625	1.14992	47.2156	0.11516
420	1.45312	6.78125	1.13738	48.353	0.115126
430	1.35938	6.9375	1.12953	49.4825	0.115076
440	1.32812	6.96875	1.13982	50.6223	0.115051
450	1.22656	7.40625	1.17273	51.7951	0.1151
460	1.46094	7.40625	1.1321	52.9272	0.115059
470	1.13281	7.3125	1.1382	54.0654	0.115033
480	1.32812	7.5625	1.14444	55.2098	0.11502
490	1.10156	7.53125	1.15113	56.3609	0.115022
500	0.875	7.8125	1.13932	57.5003	0.115001
510	1.14062	7.78125	1.12665	58.6269	0.114955
520	1.05469	7.5625	1.12779	59.7547	0.114913
530	0.878906	8.0625	1.17288	60.9276	0.114958
540	0.792969	8.25	1.15953	62.0871	0.114976
550	0.78125	7.96875	1.13946	63.2266	0.114957
560	0.675781	8.3125	1.12911	64.3557	0.114921
570	0.652344	8.4375	1.15992	65.5156	0.11494
580	0.730469	8.3125	1.13296	66.6486	0.114911
590	0.777344	8.25	1.134	67.7826	0.114886
600	0.597656	8.1875	1.13133	68.9139	0.114856
610	0.664062	8.25	1.13837	70.0523	0.11484
620	1.24219	8.25	1.13844	71.1907	0.114824
630	1.75781	7.8125	1.14493	72.3356	0.114818
640	1.85938	7.46875	1.13113	73.4668	0.114792
650	2.3125	7.4375	1.12989	74.5967	0.114764
660	3.17188	5.34375	1.12822	75.7249	0.114735
670	3.28125	5.0625	1.12881	76.8537	0.114707
680	3.20312	5.21875	1.14994	78.0036	0.114711
690	3.3125	4.90625	1.13945	79.1431	0.1147
700	3.51562	4.34375	1.14196	80.285	0.114693
710	3.60938	4.125	1.15185	81.4369	0.1147
720	3.5625	4.125	1.13726	82.5741	0.114686
730	3.46875	4.1875	1.15441	83.7285	0.114697
740	3.51562	4.15625	1.14516	84.8737	0.114694
750	3.54688	4.21875	1.15705	86.0308	0.114708
760	3.65625	4.1875	1.14188	87.1726	0.114701
770	3.54688	4.09375	1.13824	88.3109	0.114689
780	3.625	4.09375	1.13319	89.4441	0.114672
790	3.67188	4.125	1.13932	90.5834	0.114663
800	3.67188	4.0625	1.14576	91.7291	0.114661
810	3.70312	4.09375	1.12584	92.855	0.114636
820	3.79688	3.95312	1.1194	93.9744	0.114603
830	3.75	3.96875	1.1288	95.1032	0.114582
840	3.78125	4.0625	1.12697	96.2301	0.11456
850	3.85938	3.9375	1.13711	97.3673	0.11455
860	3.78125	3.82812	1.13221	98.4995	0.114534
870	3.73438	3.95312	1.12646	99.6259	0.114513
880	3.71875	3.96875	1.13902	100.765	0.114506
890	3.8125	3.98438	1.15654	101.921	0.114519
900	3.71875	3.96875	1.12635	103.048	0.114498
910	3.73438	3.89062	1.12934	104.177	0.11448
920	3.70312	3.96875	1.14723	105.324	0.114483
930	3.8125	4.09375	1.14626	106.471	0.114485
940	3.89062	3.92188	1.13391	107.605	0.114473
950	3.875	3.89062	1.12091	108.725	0.114448
960	3.8125	3.85938	1.11979	109.845	0.114422
970	3.82812	3.89062	1.14889	110.994	0.114427
980	3.76562	3.90625	1.11527	112.109	0.114397
990	3.73438	3.875	1.1245	113.234	0.114378
1000	3.76562	3.875	1.11121	114.345	0.114345
