step	train_loss	val_loss	interval_s	total_s	avg_step_s
10	4	3.95312	2.64959	2.64959	0.264959
20	3.82812	3.9375	2.0557	4.70529	0.235265
30	3.84375	3.95312	2.01276	6.71806	0.223935
40	3.75	3.875	2.01383	8.73189	0.218297
50	3.8125	3.90625	2.02222	10.7541	0.215082
60	3.78125	3.92188	1.96049	12.7146	0.21191
70	3.82812	3.9375	2.03144	14.746	0.210658
80	3.75	3.9375	2.03987	16.7859	0.209824
90	3.6875	3.98438	2.03383	18.8197	0.209108
100	3.73438	4.03125	2.02624	20.846	0.20846
110	3.67188	4.0625	2.02053	22.8665	0.207877
120	3.70312	3.96875	1.97804	24.8445	0.207038
130	3.70312	4.125	2.01269	26.8572	0.206594
140	3.65625	4.21875	1.9884	28.8456	0.20604
150	3.54688	4.21875	1.97278	30.8184	0.205456
160	3.64062	4.28125	1.95049	32.7689	0.204806
170	3.5	4.375	1.97459	34.7435	0.204373
180	3.375	4.34375	1.96859	36.7121	0.203956
190	3.40625	4.59375	1.9759	38.688	0.203621
200	3.23438	4.5	1.98115	40.6691	0.203346
210	3.17188	4.71875	1.97119	42.6403	0.203049
220	3.17188	4.8125	1.94427	44.5846	0.202657
230	3.21875	4.8125	2.00386	46.5885	0.202559
240	3.0625	4.96875	1.94871	48.5372	0.202238
250	3.04688	5	1.97799	50.5152	0.202061
260	2.89062	5.21875	2.01656	52.5317	0.202045
270	2.95312	5.1875	2.01594	54.5477	0.202028
280	2.625	5.09375	1.99178	56.5394	0.201927
290	2.57812	5.46875	1.98416	58.5236	0.201806
300	2.42188	5.8125	1.99357	60.5172	0.201724
310	2.5625	5.625	2.04891	62.5661	0.201826
320	2.20312	5.84375	2.04129	64.6074	0.201898
330	2.375	5.8125	1.94485	66.5522	0.201673
340	2.25	6.3125	1.96867	68.5209	0.201532
350	2.15625	6.25	1.99642	70.5173	0.201478
360	1.91406	6.0625	1.92147	72.4388	0.201219
370	1.8125	6.1875	1.98834	74.4271	0.201154
380	1.75	6.4375	1.99177	76.4189	0.201102
390	1.78125	6.875	1.96194	78.3808	0.200976
400	1.48438	6.78125	1.99632	80.3771	0.200943
