step	tok_plus_pos_l2	tok_plus_pos_l1	layer0_ln1_l2	layer0_ln1_l1	layer0_attn_out_l2	layer0_attn_out_l1	layer0_ln2_l2	layer0_ln2_l1	layer0_ffn_w2_l2	layer0_ffn_w2_l1	layer0_output_l2	layer0_output_l1	layer1_ln1_l2	layer1_ln1_l1	layer1_attn_out_l2	layer1_attn_out_l1	layer1_ln2_l2	layer1_ln2_l1	layer1_ffn_w2_l2	layer1_ffn_w2_l1	layer1_output_l2	layer1_output_l1	logits_l2	logits_l1
1	1454.62	1.22309e+06	1021.87	860450	1906.11	1.52489e+06	1021.89	825821	3440.4	2.7044e+06	4135.45	3.38613e+06	1020.38	842270	1032.41	861269	1020.69	836255	2485.71	1.86076e+06	5981.81	4.63823e+06	922.157	548048
2	1455.03	1.2239e+06	1021.05	860180	1892.91	1.51457e+06	1021.45	825965	3439.45	2.6999e+06	4106.14	3.3489e+06	1019.55	839242	946.437	786991	1020.02	833899	2216.99	1.66719e+06	5629.58	4.37065e+06	814.725	488594
3	1454.89	1.22355e+06	1020.91	859768	1889.28	1.51191e+06	1021.62	826445	3401.76	2.66216e+06	4080.98	3.30316e+06	1019.94	833242	914.177	752010	1020.13	827605	2060.04	1.54473e+06	5430.77	4.21046e+06	767.307	451544
4	1455.23	1.2238e+06	1017.4	856748	1890.55	1.51445e+06	1018.69	823995	3405.01	2.65618e+06	4082.61	3.28447e+06	1018.9	827478	905.202	740445	1017.1	822659	1984.1	1.48826e+06	5339.29	4.13716e+06	751.397	438691
5	1454.83	1.22354e+06	1017.2	856628	1887.44	1.51277e+06	1018.69	824097	3421.21	2.66278e+06	4103.46	3.28631e+06	1018.63	823975	910.579	744506	1017.09	821781	1962.71	1.47758e+06	5351.1	4.14707e+06	753.241	437578
6	1454.97	1.22371e+06	1017.1	856638	1884.65	1.51032e+06	1018.75	824453	3458.84	2.69035e+06	4145.76	3.31287e+06	1018.77	822733	919.194	752244	1017.61	823294	1959.69	1.47865e+06	5407.39	4.20432e+06	759.229	440804
7	1455.28	1.22393e+06	1016.83	856410	1888.74	1.51449e+06	1018.47	824467	3489.61	2.71359e+06	4185.62	3.34078e+06	1018.75	822116	924.646	756998	1017.64	825637	1986.07	1.50327e+06	5480.92	4.28086e+06	758.274	441291
8	1454.99	1.22347e+06	1016.95	856363	1883.25	1.50931e+06	1018.84	825470	3535.98	2.75005e+06	4239.28	3.38404e+06	1019.1	822834	928.289	760303	1017.3	827786	2021.55	1.5361e+06	5582.68	4.37783e+06	759.486	442908
9	1454.37	1.22262e+06	1016.76	855941	1878.79	1.50662e+06	1018.68	825855	3574.8	2.78035e+06	4278.7	3.41466e+06	1018.57	822780	938.503	767733	1017.36	829932	2067.1	1.57562e+06	5673.92	4.45971e+06	756.173	441848
10	1455.45	1.22375e+06	1016.52	855940	1887.65	1.51291e+06	1018.93	826353	3621.36	2.81777e+06	4327.08	3.45749e+06	1018.18	824240	946.576	772308	1017.29	832345	2119.11	1.62078e+06	5773.44	4.54893e+06	760.294	444367
11	1455.68	1.22409e+06	1016.55	856047	1884.72	1.51165e+06	1018.71	826574	3656.61	2.84624e+06	4368.2	3.49268e+06	1017.71	824584	952.651	774332	1017.77	833930	2181.78	1.67397e+06	5883.72	4.64336e+06	770.218	449152
12	1454.94	1.22351e+06	1016.43	856016	1881.94	1.51039e+06	1019.19	827173	3704.56	2.88242e+06	4423.88	3.53488e+06	1018.37	825417	958.226	776740	1017.99	834927	2232.93	1.72124e+06	6001.24	4.73924e+06	786.563	456215
13	1454.74	1.22295e+06	1016.36	855665	1884.21	1.51141e+06	1018.94	827032	3709.68	2.88707e+06	4453.45	3.5608e+06	1017.69	826064	957.961	773517	1018	837521	2267.38	1.75628e+06	6086.67	4.82647e+06	803.454	461607
14	1455.25	1.22383e+06	1016.16	855803	1888.51	1.51535e+06	1018.65	826654	3728.34	2.90145e+06	4487.15	3.58729e+06	1017.55	826222	966.575	776026	1018.06	838353	2307.68	1.79647e+06	6188.68	4.91877e+06	820.453	467752
15	1455.05	1.22363e+06	1015.76	855439	1889.58	1.5161e+06	1018.87	826919	3746.05	2.91528e+06	4519.33	3.61433e+06	1017.8	826989	972.137	778534	1018.03	839218	2338.51	1.82972e+06	6278.8	5.00337e+06	839.871	475025
16	1454.99	1.22343e+06	1015.53	855133	1893.4	1.51994e+06	1018.72	826955	3755.19	2.92087e+06	4545.19	3.63419e+06	1017.17	826837	979.135	780080	1018.31	840005	2371.75	1.86176e+06	6363.33	5.07915e+06	859.507	483876
17	1455.16	1.22371e+06	1015.72	855392	1888.99	1.51585e+06	1018.78	826939	3768.22	2.932e+06	4573.72	3.65751e+06	1017.42	827541	984.861	782312	1018.37	841168	2414.92	1.89726e+06	6456.63	5.16281e+06	884.794	497481
18	1454.81	1.22336e+06	1015.21	854910	1889.29	1.51543e+06	1018.81	826789	3770.62	2.93484e+06	4601.94	3.68072e+06	1016.73	827414	994.481	785547	1018.42	842249	2455.19	1.93071e+06	6549.05	5.25231e+06	911.947	512243
19	1454.59	1.22295e+06	1015.33	854899	1887.17	1.51415e+06	1018.74	826324	3769.43	2.93564e+06	4618.38	3.69235e+06	1016.83	827525	1006.03	789370	1018.11	843102	2507.44	1.97031e+06	6632.28	5.33252e+06	945.503	529867
20	1455.09	1.22385e+06	1015.13	855012	1895.79	1.52221e+06	1019.05	826051	3771.32	2.93876e+06	4634.42	3.70593e+06	1017.05	827922	1020.95	798808	1018.35	843964	2547.73	2.0041e+06	6704.71	5.40427e+06	972.693	543112
21	1455.84	1.22437e+06	1015.32	855108	1906.73	1.53153e+06	1019.28	825549	3770.54	2.93811e+06	4651.93	3.71877e+06	1016.23	827350	1029.45	803200	1018.5	844364	2571.99	2.02598e+06	6763.51	5.45862e+06	997.497	555269
22	1454.93	1.22344e+06	1015.16	854869	1895.49	1.5221e+06	1018.84	825420	3744.7	2.91713e+06	4637.96	3.70514e+06	1015.9	826963	1042.75	807718	1018.67	844550	2600.7	2.0477e+06	6772.02	5.45978e+06	1017.73	565378
23	1454.82	1.22348e+06	1015.66	855350	1897.86	1.52549e+06	1019.25	826014	3721.54	2.90052e+06	4635.02	3.70124e+06	1016.64	827461	1066.49	823049	1018.64	844093	2630.79	2.0725e+06	6791.64	5.47756e+06	1037.82	573489
24	1455.7	1.22424e+06	1015.94	855554	1907.8	1.53253e+06	1018.9	825292	3706.67	2.88772e+06	4620.47	3.68636e+06	1016.47	826983	1080.81	831106	1018.41	843172	2653.48	2.08706e+06	6782.91	5.46007e+06	1051.38	579342
25	1455.58	1.22418e+06	1015.56	855229	1905.38	1.53073e+06	1018.99	825397	3680.5	2.86778e+06	4601.61	3.66874e+06	1016.16	826218	1093.44	836420	1018.49	842424	2677.73	2.10271e+06	6769.44	5.43856e+06	1061.58	583865
26	1456	1.22458e+06	1015.19	854891	1904.37	1.52983e+06	1018.68	824799	3655.03	2.8482e+06	4577.57	3.6458e+06	1016.2	825455	1105.17	843514	1018.49	842026	2703.84	2.1195e+06	6745.42	5.41348e+06	1069.76	588014
27	1455.43	1.22373e+06	1015.16	854671	1900.68	1.52618e+06	1018.44	824838	3632.35	2.83127e+06	4555.78	3.62721e+06	1015.88	824513	1113.28	847142	1018.46	841924	2732.24	2.1368e+06	6723.26	5.39516e+06	1081.94	593571
28	1455.4	1.22373e+06	1015.02	854598	1904.89	1.53144e+06	1018.79	825464	3620.91	2.82348e+06	4539.76	3.61385e+06	1016.06	824126	1117.14	847680	1018.03	841273	2753.87	2.15388e+06	6709.39	5.3864e+06	1093.09	598247
29	1455.33	1.2238e+06	1015.27	854926	1906.36	1.53212e+06	1018.93	825584	3602.39	2.81112e+06	4527.94	3.60557e+06	1016.25	824067	1127.72	851945	1018.14	841567	2790.13	2.18236e+06	6702.66	5.38809e+06	1106.07	602108
