step	grad_norm
1	3.58954
2	2.0829
3	1.52096
4	1.32058
5	1.0149
6	1.4008
7	1.29194
8	1.10498
9	0.903677
10	1.12921
11	0.912444
12	0.927944
13	0.926145
14	0.894368
15	0.980172
16	0.828163
17	0.842879
18	0.841462
19	0.79377
20	0.713843
21	1.09102
22	0.799987
23	0.859317
24	0.741028
25	1.09608
26	0.889463
27	0.872757
28	0.884953
29	0.780342
30	0.870402
31	0.792057
32	0.812087
33	0.733637
34	0.691056
35	0.818981
36	0.93406
37	0.771368
38	0.912317
39	0.916374
40	0.758879
41	0.854807
42	0.846868
43	0.770476
44	0.948084
45	0.855637
46	0.970595
47	0.924607
48	1.00316
49	0.880225
50	0.958291
51	0.817001
52	0.882958
53	0.651255
54	0.832
55	0.896794
56	0.679161
57	1.03692
58	0.899189
59	0.933405
60	0.881563
61	0.894992
62	0.844784
63	0.991759
64	1.03656
65	0.878765
66	0.776027
67	0.9681
68	0.751923
69	0.918948
70	1.00906
71	0.854166
72	0.937738
73	0.867313
74	0.710725
75	0.85538
76	0.78876
77	0.960581
78	0.875846
79	0.829037
80	0.814608
81	0.819785
82	0.879635
83	0.854677
84	0.902976
85	0.80639
86	0.745869
87	0.823727
88	0.761643
89	0.763601
90	0.742083
91	0.915701
92	0.840527
93	0.894921
94	0.981577
95	0.95586
96	0.959287
97	0.861357
98	0.728085
99	0.795354
100	0.948392
101	0.91242
102	1.02504
103	0.93645
104	0.830286
105	0.761788
106	0.752556
107	0.830715
108	0.9057
109	1.03341
110	0.852696
111	0.822218
112	1.03074
113	0.990769
114	1.09912
115	1.04454
116	0.975038
117	0.828669
118	0.962502
119	0.929844
120	0.96041
121	0.858352
122	1.01064
123	0.788924
124	0.843947
125	0.830624
126	0.908361
127	0.908009
128	1.61161
129	1.08282
130	1.22022
131	0.86464
132	0.999911
133	1.17419
134	1.24898
135	1.05076
136	0.961863
137	0.925501
138	0.993449
139	1.07287
140	1.1939
141	0.951376
142	1.03878
143	1.16248
144	1.27183
145	1.19022
146	1.11394
147	1.04203
148	1.07371
149	1.18302
150	1.16847
151	1.18338
152	1.07227
153	1.0748
154	1.06243
155	1.11073
156	1.38144
157	1.35676
158	1.31017
159	1.26721
160	1.29192
161	1.21428
162	1.12187
163	1.35196
164	1.0831
165	1.10763
166	1.27924
167	1.03016
168	1.1738
169	1.25937
170	1.16638
171	1.11586
172	1.11316
173	1.19659
174	1.1032
175	1.56437
176	1.14775
177	1.65176
178	1.4179
179	1.57554
180	1.27272
181	1.33826
182	1.50177
183	1.33352
184	1.59086
185	1.52761
186	1.3957
187	1.59404
188	1.71203
189	1.64641
190	1.65477
191	1.61602
192	1.39321
193	1.6771
194	1.42705
195	1.35302
196	1.34743
197	2.09934
198	1.47876
199	1.58755
200	1.48342
201	1.47354
202	1.67181
203	1.47696
204	1.82899
205	1.98131
206	1.503
207	1.94927
208	1.69525
209	1.60571
210	1.49079
211	1.64975
212	1.57422
213	1.65113
214	2.50377
215	1.75741
216	1.79643
217	2.19419
218	1.82755
219	2.16779
220	1.87386
221	1.87665
222	2.6623
223	2.35089
224	4.14746
225	2.17082
226	1.74526
227	1.69666
228	1.89476
229	2.98735
230	1.83817
231	2.08105
232	1.70153
233	2.25296
234	1.57108
235	1.62198
236	2.24792
237	1.8089
238	2.22813
239	2.41162
240	1.9217
241	2.18251
242	2.30009
243	2.05889
244	1.73697
245	1.85795
246	2.14832
247	1.62972
248	2.40402
249	2.05515
250	1.99716
251	1.96118
252	1.75299
253	2.68692
254	2.1058
255	2.83211
256	2.69015
257	1.78138
258	2.89635
259	1.89705
260	1.90804
261	2.81005
262	2.1804
263	2.49379
264	2.03974
265	2.39752
266	2.60615
267	2.10257
268	2.38937
269	2.20537
270	2.10512
271	2.06255
272	2.43604
273	2.37475
274	2.56541
275	1.93536
276	2.08155
277	2.96641
278	2.01936
279	2.6269
280	2.00903
281	1.75129
282	2.11461
283	2.64676
284	2.09892
285	2.48241
286	2.44992
287	2.68277
288	3.10333
289	2.54355
290	2.59462
291	2.50348
292	3.31449
293	2.43457
294	2.31637
295	2.727
296	2.88199
297	2.25307
298	2.47378
299	2.9264
300	2.68999
301	3.22653
302	2.32305
303	3.1701
304	2.71218
305	2.06755
306	2.79847
307	3.78362
308	3.02249
309	2.37457
310	2.602
311	4.15925
312	2.92373
313	3.06473
314	2.76369
315	2.98624
316	2.8195
317	2.88497
318	2.77995
319	2.5614
320	3.18113
321	2.94718
322	3.07482
323	2.90126
324	2.68165
325	3.42522
326	2.45853
327	2.67366
328	3.03138
329	3.00221
330	3.38607
331	3.01857
332	2.9241
333	3.11575
334	3.37285
335	2.86008
336	2.94445
337	3.20102
338	3.39496
339	2.78253
340	3.37217
341	2.81114
342	4.32002
343	3.41635
344	3.41457
345	3.08402
346	4.51403
347	5.31765
348	4.42578
349	3.10472
350	4.08488
351	3.37788
352	3.36589
353	2.82144
354	4.26064
355	2.96941
356	3.27288
357	3.48653
358	3.88752
359	2.99848
360	2.96179
361	3.64678
362	2.72232
363	3.97743
364	2.72789
365	4.07556
366	4.03178
367	3.06173
368	3.10207
369	3.48229
370	3.99799
371	3.12857
372	3.84755
373	3.42424
374	3.82079
375	2.91564
376	3.27057
377	4.10951
378	4.49995
379	2.63955
380	3.78596
381	4.51219
382	3.56465
383	3.86032
384	2.96375
385	3.2792
386	4.33037
387	4.95482
388	2.90721
389	3.22005
390	3.51189
391	3.68703
392	3.17239
393	3.23291
394	3.88556
395	3.12878
396	2.75543
397	2.90473
398	2.82885
399	3.35149
400	2.65534
