step	loss
1	4.78125
2	4.34375
3	4.1875
4	4.09375
5	4.0625
6	4.09375
7	4.0625
8	3.98438
9	3.9375
10	4
11	3.95312
12	3.95312
13	3.95312
14	3.90625
15	3.92188
16	3.89062
17	3.90625
18	3.875
19	3.85938
20	3.82812
21	3.90625
22	3.84375
23	3.84375
24	3.84375
25	3.875
26	3.82812
27	3.85938
28	3.84375
29	3.82812
30	3.84375
31	3.76562
32	3.79688
33	3.82812
34	3.84375
35	3.82812
36	3.8125
37	3.79688
38	3.84375
39	3.82812
40	3.75
41	3.82812
42	3.85938
43	3.78125
44	3.82812
45	3.76562
46	3.82812
47	3.84375
48	3.84375
49	3.79688
50	3.8125
51	3.79688
52	3.79688
53	3.73438
54	3.79688
55	3.8125
56	3.73438
57	3.84375
58	3.82812
59	3.82812
60	3.78125
61	3.78125
62	3.82812
63	3.8125
64	3.71875
65	3.76562
66	3.75
67	3.79688
68	3.79688
69	3.78125
70	3.82812
71	3.76562
72	3.79688
73	3.75
74	3.75
75	3.73438
76	3.73438
77	3.84375
78	3.79688
79	3.76562
80	3.75
81	3.76562
82	3.73438
83	3.6875
84	3.75
85	3.75
86	3.71875
87	3.73438
88	3.75
89	3.70312
90	3.6875
91	3.70312
92	3.70312
93	3.78125
94	3.73438
95	3.6875
96	3.70312
97	3.73438
98	3.71875
99	3.71875
100	3.73438
101	3.73438
102	3.71875
103	3.73438
104	3.65625
105	3.75
106	3.64062
107	3.71875
108	3.75
109	3.67188
110	3.67188
111	3.70312
112	3.65625
113	3.65625
114	3.73438
115	3.70312
116	3.67188
117	3.625
118	3.70312
119	3.76562
120	3.70312
121	3.65625
122	3.67188
123	3.6875
124	3.65625
125	3.625
126	3.64062
127	3.67188
128	3.625
129	3.70312
130	3.70312
131	3.67188
132	3.65625
133	3.6875
134	3.67188
135	3.70312
136	3.5
137	3.54688
138	3.60938
139	3.625
140	3.65625
141	3.59375
142	3.5625
143	3.65625
144	3.625
145	3.71875
146	3.59375
147	3.625
148	3.65625
149	3.54688
150	3.54688
151	3.60938
152	3.59375
153	3.57812
154	3.5
155	3.54688
156	3.51562
157	3.57812
158	3.5
159	3.51562
160	3.64062
161	3.54688
162	3.64062
163	3.57812
164	3.5625
165	3.5
166	3.5
167	3.53125
168	3.46875
169	3.54688
170	3.5
171	3.48438
172	3.64062
173	3.40625
174	3.29688
175	3.375
176	3.39062
177	3.5625
178	3.42188
179	3.4375
180	3.375
181	3.375
182	3.42188
183	3.23438
184	3.375
185	3.40625
186	3.39062
187	3.40625
188	3.375
189	3.35938
190	3.40625
191	3.42188
192	3.34375
193	3.39062
194	3.29688
195	3.3125
196	3.39062
197	3.39062
198	3.34375
199	3.35938
200	3.23438
201	3.21875
202	3.3125
203	3.28125
204	3.34375
205	3.28125
206	3.21875
207	3.21875
208	3.21875
209	3.21875
210	3.17188
211	3.20312
212	3.21875
213	3.25
214	3.45312
215	3.3125
216	3.26562
217	3.125
218	3.32812
219	3.21875
220	3.17188
221	3.04688
222	3.17188
223	3.3125
224	3.25
225	3.21875
226	3.04688
227	3.1875
228	3.125
229	3.125
230	3.21875
231	3.15625
232	3.125
233	3.20312
234	3.14062
235	3.09375
236	3.14062
237	3.07812
238	3.17188
239	3.07812
240	3.0625
241	3.03125
242	3.14062
243	2.89062
244	3.04688
245	3.07812
246	2.96875
247	2.92188
248	3.07812
249	3.125
250	3.04688
251	2.84375
252	3
253	3.03125
254	2.82812
255	2.89062
256	2.85938
257	2.875
258	3.01562
259	2.78125
260	2.89062
261	2.79688
262	2.90625
263	2.98438
264	2.89062
265	2.76562
266	2.90625
267	2.85938
268	2.92188
269	2.89062
270	2.95312
271	2.78125
272	3
273	2.67188
274	2.78125
275	2.75
276	2.79688
277	2.64062
278	2.75
279	2.8125
280	2.625
281	2.5625
282	2.6875
283	2.84375
284	2.57812
285	2.71875
286	2.64062
287	2.65625
288	2.5
289	2.70312
290	2.57812
291	2.5625
292	2.70312
293	2.54688
294	2.5
295	2.42188
296	2.51562
297	2.54688
298	2.35938
299	2.45312
300	2.42188
301	2.40625
302	2.35938
303	2.46875
304	2.48438
305	2.42188
306	2.34375
307	2.45312
308	2.40625
309	2.32812
310	2.5625
311	2.40625
312	2.40625
313	2.35938
314	2.25
315	2.40625
316	2.32812
317	2.40625
318	2.23438
319	2.20312
320	2.20312
321	2.29688
322	2.29688
323	2.28125
324	2.1875
325	2.23438
326	2.15625
327	2.23438
328	2.28125
329	2.25
330	2.375
331	2.15625
332	2.14062
333	2.14062
334	2.14062
335	2.09375
336	2.07812
337	1.95312
338	2.10938
339	1.97656
340	2.25
341	2.21875
342	2
343	2.0625
344	2.10938
345	2.0625
346	2.15625
347	1.99219
348	2.0625
349	2.125
350	2.15625
351	2.04688
352	2.03125
353	1.99219
354	2.09375
355	2.07812
356	1.89844
357	1.88281
358	1.90625
359	2.09375
360	1.91406
361	1.88281
362	1.80469
363	1.72656
364	1.82031
365	1.8125
366	1.8125
367	1.95312
368	1.76562
369	1.8125
370	1.8125
371	1.89062
372	1.72656
373	1.78906
374	1.76562
375	1.63281
376	1.63281
377	1.63281
378	1.625
379	1.47656
380	1.75
381	1.61719
382	1.71875
383	1.71094
384	1.63281
385	1.66406
386	1.67969
387	1.79688
388	1.60156
389	1.53906
390	1.78125
391	1.67188
392	1.625
393	1.69531
394	1.50781
395	1.61719
396	1.60938
397	1.60938
398	1.625
399	1.46094
400	1.48438
