step,train_loss,val_loss,interval_s,total_s
1,9,8.3125,20.0617,20.0617
2,7.84375,8.4375,0.0281009,20.0898
3,7.4375,7.1875,0.0274125,20.1172
4,6.6875,6.34375,0.0288838,20.1461
5,6.4375,6.125,0.0283787,20.1745
1,9,8.3125,0.711583,0.711583
2,7.84375,8.4375,0.0294501,0.741033
3,7.4375,7.1875,0.0286827,0.769716
4,6.6875,6.34375,0.0292276,0.798943
5,6.4375,6.125,0.0295093,0.828453
1,9,8.3125,0.723138,0.723138
2,7.84375,8.4375,0.0282628,0.751401
3,7.4375,7.1875,0.0275132,0.778914
4,6.6875,6.34375,0.0275578,0.806472
5,6.4375,6.125,0.0275294,0.834002
1,5.65625,5.53125,0.726201,0.726201
2,5.375,5.65625,0.0296618,0.755863
3,5.15625,5.125,0.0291007,0.784964
4,4.8125,5.09375,0.0287794,0.813743
5,5.03125,5.03125,0.0294148,0.843158
20,4.65625,4.9375,1.11196,1.11196
40,4.65625,4.8125,0.369904,1.48186
60,4.65625,4.625,0.367566,1.84943
80,4.65625,4.625,0.366436,2.21587
100,4.65625,4.6875,0.369955,2.58582
120,4.6875,4.65625,0.371863,2.95769
140,4.59375,4.65625,0.369195,3.32688
160,4.6875,4.71875,0.371023,3.6979
180,4.6875,4.6875,0.345502,4.04341
200,4.59375,4.65625,0.344878,4.38828
20,4.65625,4.9375,1.14534,1.14534
40,4.65625,4.8125,0.362907,1.50825
60,4.65625,4.625,0.34618,1.85443
80,4.65625,4.625,0.345453,2.19988
100,4.65625,4.6875,0.347078,2.54696
120,4.6875,4.65625,0.346782,2.89374
140,4.59375,4.65625,0.346344,3.24009
160,4.6875,4.71875,0.350088,3.59017
180,4.6875,4.6875,0.370131,3.96031
200,4.59375,4.65625,0.368941,4.32925
20,4.65625,4.9375,1.11816,1.11816
40,4.65625,4.8125,0.343966,1.46213
60,4.65625,4.625,0.349896,1.81202
80,4.65625,4.625,0.345384,2.15741
100,4.65625,4.6875,0.346407,2.50381
120,4.6875,4.65625,0.345528,2.84934
140,4.59375,4.65625,0.345588,3.19493
160,4.6875,4.71875,0.346916,3.54185
180,4.6875,4.6875,0.347501,3.88935
200,4.59375,4.65625,0.347239,4.23659
20,4.65625,4.9375,1.13118,1.13118
40,4.65625,4.8125,0.381378,1.51255
60,4.65625,4.625,0.37855,1.8911
80,4.65625,4.625,0.373264,2.26437
100,4.65625,4.6875,0.372837,2.63721
120,4.6875,4.65625,0.374426,3.01163
140,4.59375,4.65625,0.37259,3.38422
160,4.6875,4.71875,0.372648,3.75687
180,4.6875,4.6875,0.372943,4.12981
200,4.59375,4.65625,0.373376,4.50319
20,4.65625,4.9375,1.12343,1.12343
40,4.65625,4.8125,0.367493,1.49092
60,4.65625,4.625,0.367993,1.85892
80,4.65625,4.625,0.366206,2.22512
100,4.65625,4.6875,0.36517,2.59029
120,4.6875,4.65625,0.365451,2.95574
140,4.59375,4.65625,0.382049,3.33779
160,4.6875,4.71875,0.367566,3.70536
180,4.6875,4.6875,0.3661,4.07146
200,4.59375,4.65625,0.374737,4.44619
20,4.65625,4.9375,1.15199,1.15199
40,4.65625,4.8125,0.380507,1.5325
60,4.65625,4.625,0.382009,1.91451
80,4.65625,4.625,0.383648,2.29815
100,4.65625,4.6875,0.387365,2.68552
120,4.6875,4.65625,0.380791,3.06631
140,4.59375,4.65625,0.39311,3.45942
160,4.6875,4.71875,0.398773,3.85819
180,4.6875,4.6875,0.400143,4.25834
200,4.59375,4.65625,0.401956,4.66029
20,4.65625,4.9375,1.12542,1.12542
40,4.65625,4.8125,0.368107,1.49353
60,4.65625,4.625,0.369207,1.86274
80,4.65625,4.625,0.369788,2.23253
100,4.65625,4.6875,0.368263,2.60079
120,4.6875,4.65625,0.367555,2.96835
140,4.59375,4.65625,0.368966,3.33731
160,4.6875,4.71875,0.366935,3.70425
180,4.6875,4.6875,0.365868,4.07011
200,4.59375,4.65625,0.366828,4.43694
20,4.65625,4.9375,1.11033,1.11033
40,4.65625,4.8125,0.36452,1.47485
60,4.65625,4.625,0.36562,1.84047
80,4.65625,4.625,0.365097,2.20557
100,4.65625,4.6875,0.371813,2.57738
120,4.6875,4.65625,0.363094,2.94048
140,4.59375,4.65625,0.362912,3.30339
160,4.6875,4.71875,0.363634,3.66702
180,4.6875,4.6875,0.364276,4.0313
200,4.59375,4.65625,0.365532,4.39683
20,4.65625,4.9375,1.10731,1.10731
40,4.65625,4.8125,0.383401,1.49071
60,4.65625,4.625,0.362008,1.85272
80,4.65625,4.625,0.357552,2.21027
100,4.65625,4.6875,0.353046,2.56331
120,4.6875,4.65625,0.361691,2.92501
140,4.59375,4.65625,0.355177,3.28018
160,4.6875,4.71875,0.361229,3.64141
180,4.6875,4.6875,0.354905,3.99632
200,4.59375,4.65625,0.372682,4.369
20,4.65625,4.9375,1.08397,1.08397
40,4.65625,4.8125,0.342484,1.42646
60,4.65625,4.625,0.345144,1.7716
80,4.65625,4.625,0.345418,2.11702
100,4.65625,4.6875,0.351697,2.46872
120,4.6875,4.65625,0.3762,2.84492
140,4.59375,4.65625,0.372322,3.21724
160,4.6875,4.71875,0.371642,3.58888
180,4.6875,4.6875,0.372338,3.96122
200,4.59375,4.65625,0.371828,4.33305
20,4.65625,4.9375,1.12198,1.12198
40,4.65625,4.8125,0.349589,1.47157
60,4.65625,4.625,0.350768,1.82234
80,4.65625,4.625,0.35034,2.17268
100,4.65625,4.6875,0.350924,2.5236
120,4.6875,4.65625,0.352767,2.87637
140,4.59375,4.65625,0.351933,3.2283
160,4.6875,4.71875,0.351804,3.5801
180,4.6875,4.6875,0.351,3.9311
200,4.59375,4.65625,0.350872,4.28198
20,4.65625,4.9375,1.15117,1.15117
40,4.65625,4.8125,0.394004,1.54517
60,4.65625,4.625,0.375451,1.92062
80,4.65625,4.625,0.376001,2.29663
100,4.65625,4.6875,0.37136,2.66799
120,4.6875,4.65625,0.384309,3.0523
140,4.59375,4.65625,0.392454,3.44475
160,4.6875,4.71875,0.387986,3.83274
180,4.6875,4.6875,0.393628,4.22636
200,4.59375,4.65625,0.376152,4.60252
20,4.65625,4.9375,1.11684,1.11684
40,4.65625,4.8125,0.380636,1.49748
60,4.65625,4.625,0.37922,1.8767
80,4.65625,4.625,0.353973,2.23067
100,4.65625,4.6875,0.349247,2.57992
120,4.6875,4.65625,0.346018,2.92593
140,4.59375,4.65625,0.349405,3.27534
160,4.6875,4.71875,0.347529,3.62287
180,4.6875,4.6875,0.346452,3.96932
200,4.59375,4.65625,0.345626,4.31495
20,4.65625,4.9375,1.08444,1.08444
40,4.65625,4.8125,0.333713,1.41815
60,4.65625,4.625,0.36114,1.77929
80,4.65625,4.625,0.361962,2.14125
100,4.65625,4.6875,0.362138,2.50339
120,4.6875,4.65625,0.361304,2.86469
140,4.59375,4.65625,0.359667,3.22436
160,4.6875,4.71875,0.360292,3.58465
180,4.6875,4.6875,0.360789,3.94544
200,4.59375,4.65625,0.362034,4.30748
20,4.65625,4.9375,1.13074,1.13074
40,4.65625,4.8125,0.354369,1.48511
60,4.65625,4.625,0.352981,1.83809
80,4.65625,4.625,0.353744,2.19183
100,4.65625,4.6875,0.356619,2.54845
120,4.6875,4.65625,0.367182,2.91563
140,4.59375,4.65625,0.38042,3.29605
160,4.6875,4.71875,0.348334,3.64438
180,4.6875,4.6875,0.334029,3.97841
200,4.59375,4.65625,0.334253,4.31267
20,4.65625,4.9375,1.12173,1.12173
40,4.65625,4.8125,0.345681,1.46741
60,4.65625,4.625,0.352665,1.82007
80,4.65625,4.625,0.348861,2.16893
100,4.65625,4.6875,0.352014,2.52095
120,4.6875,4.65625,0.358673,2.87962
140,4.59375,4.65625,0.34991,3.22953
160,4.6875,4.71875,0.378699,3.60823
180,4.6875,4.6875,0.372553,3.98078
200,4.59375,4.65625,0.372797,4.35358
20,4.65625,4.9375,1.10718,1.10718
40,4.65625,4.8125,0.351349,1.45852
60,4.65625,4.625,0.351205,1.80973
80,4.65625,4.625,0.35368,2.16341
100,4.65625,4.6875,0.353958,2.51737
120,4.6875,4.65625,0.351576,2.86894
140,4.59375,4.65625,0.350253,3.2192
160,4.6875,4.71875,0.352613,3.57181
180,4.6875,4.6875,0.353415,3.92522
200,4.59375,4.65625,0.354747,4.27997
20,4.65625,4.9375,1.11226,1.11226
40,4.65625,4.8125,0.360083,1.47234
60,4.65625,4.625,0.364264,1.83661
80,4.65625,4.625,0.389463,2.22607
100,4.65625,4.6875,0.336047,2.56212
120,4.6875,4.65625,0.344494,2.90661
140,4.59375,4.65625,0.359277,3.26589
160,4.6875,4.71875,0.358385,3.62428
180,4.6875,4.6875,0.358554,3.98283
200,4.59375,4.65625,0.358163,4.34099
20,4.65625,4.9375,1.12917,1.12917
40,4.65625,4.8125,0.359117,1.48829
60,4.65625,4.625,0.356276,1.84456
80,4.65625,4.625,0.336114,2.18068
100,4.65625,4.6875,0.350693,2.53137
120,4.6875,4.65625,0.357368,2.88874
140,4.59375,4.65625,0.358894,3.24763
160,4.6875,4.71875,0.362194,3.60983
180,4.6875,4.6875,0.352759,3.96259
200,4.59375,4.65625,0.372661,4.33525
20,4.65625,4.9375,1.10421,1.10421
40,4.65625,4.8125,0.354801,1.45902
60,4.65625,4.625,0.353348,1.81236
80,4.65625,4.625,0.354974,2.16734
100,4.65625,4.6875,0.353863,2.5212
120,4.6875,4.65625,0.351932,2.87313
140,4.59375,4.65625,0.353347,3.22648
160,4.6875,4.71875,0.353287,3.57977
180,4.6875,4.6875,0.352487,3.93225
200,4.59375,4.65625,0.352166,4.28442
20,4.65625,4.9375,1.07416,1.07416
40,4.65625,4.8125,0.356848,1.43101
60,4.65625,4.625,0.349139,1.78015
80,4.65625,4.625,0.348286,2.12843
100,4.65625,4.6875,0.330606,2.45904
120,4.6875,4.65625,0.329581,2.78862
140,4.59375,4.65625,0.330058,3.11868
160,4.6875,4.71875,0.329304,3.44798
180,4.6875,4.6875,0.330028,3.77801
200,4.59375,4.65625,0.330029,4.10804
20,4.65625,4.9375,1.10005,1.10005
40,4.65625,4.8125,0.3449,1.44495
60,4.65625,4.625,0.345597,1.79054
80,4.65625,4.625,0.348635,2.13918
100,4.65625,4.6875,0.349351,2.48853
120,4.6875,4.65625,0.348257,2.83679
140,4.59375,4.65625,0.353574,3.19036
160,4.6875,4.71875,0.348102,3.53846
180,4.6875,4.6875,0.349687,3.88815
200,4.59375,4.65625,0.351509,4.23966
20,4.65625,4.9375,1.13168,1.13168
40,4.65625,4.8125,0.361926,1.49361
60,4.65625,4.625,0.361834,1.85544
80,4.65625,4.625,0.362667,2.21811
100,4.65625,4.6875,0.381698,2.59981
120,4.6875,4.65625,0.36196,2.96177
140,4.59375,4.65625,0.362169,3.32394
160,4.6875,4.71875,0.366181,3.69012
180,4.6875,4.6875,0.364096,4.05421
200,4.59375,4.65625,0.381912,4.43612
20,4.65625,4.9375,1.13536,1.13536
40,4.65625,4.8125,0.390441,1.5258
60,4.65625,4.625,0.392077,1.91788
80,4.65625,4.625,0.38575,2.30363
100,4.65625,4.6875,0.38102,2.68465
120,4.6875,4.65625,0.380248,3.06489
140,4.59375,4.65625,0.383367,3.44826
160,4.6875,4.71875,0.386097,3.83436
180,4.6875,4.6875,0.394002,4.22836
200,4.59375,4.65625,0.371667,4.60003
20,4.65625,4.9375,1.10664,1.10664
40,4.65625,4.8125,0.358065,1.46471
60,4.65625,4.625,0.358521,1.82323
80,4.65625,4.625,0.358962,2.18219
100,4.65625,4.6875,0.361466,2.54366
120,4.6875,4.65625,0.370867,2.91453
140,4.59375,4.65625,0.359753,3.27428
160,4.6875,4.71875,0.360599,3.63488
180,4.6875,4.6875,0.360348,3.99523
200,4.59375,4.65625,0.361337,4.35656
20,4.65625,4.9375,1.11916,1.11916
40,4.65625,4.8125,0.364457,1.48361
60,4.65625,4.625,0.369,1.85261
80,4.65625,4.625,0.334248,2.18686
100,4.65625,4.6875,0.333622,2.52048
120,4.6875,4.65625,0.348164,2.86865
140,4.59375,4.65625,0.339388,3.20804
160,4.6875,4.71875,0.3614,3.56944
180,4.6875,4.6875,0.340587,3.91002
200,4.59375,4.65625,0.339816,4.24984
20,4.65625,4.9375,1.10963,1.10963
40,4.65625,4.8125,0.353744,1.46337
60,4.65625,4.625,0.352249,1.81562
80,4.65625,4.625,0.352283,2.1679
100,4.65625,4.6875,0.351503,2.5194
120,4.6875,4.65625,0.351495,2.8709
140,4.59375,4.65625,0.359486,3.23039
160,4.6875,4.71875,0.336431,3.56682
180,4.6875,4.6875,0.349691,3.91651
200,4.59375,4.65625,0.357425,4.27393
20,4.65625,4.9375,1.11395,1.11395
40,4.65625,4.8125,0.33868,1.45263
60,4.65625,4.625,0.339296,1.79193
80,4.65625,4.625,0.339128,2.13106
100,4.65625,4.6875,0.338018,2.46907
120,4.6875,4.65625,0.338693,2.80777
140,4.59375,4.65625,0.340047,3.14781
160,4.6875,4.71875,0.340746,3.48856
180,4.6875,4.6875,0.355263,3.84382
200,4.59375,4.65625,0.357185,4.20101
20,4.65625,4.9375,1.1252,1.1252
40,4.65625,4.8125,0.388253,1.51346
60,4.65625,4.625,0.387551,1.90101
80,4.65625,4.625,0.382808,2.28382
100,4.65625,4.6875,0.375809,2.65962
120,4.6875,4.65625,0.37539,3.03501
140,4.59375,4.65625,0.378491,3.41351
160,4.6875,4.71875,0.373627,3.78713
180,4.6875,4.6875,0.384687,4.17182
200,4.59375,4.65625,0.367019,4.53884
20,4.65625,4.9375,1.11444,1.11444
40,4.65625,4.8125,0.358765,1.4732
60,4.65625,4.625,0.353024,1.82622
80,4.65625,4.625,0.356711,2.18293
100,4.65625,4.6875,0.362824,2.54576
120,4.6875,4.65625,0.360148,2.90591
140,4.59375,4.65625,0.360931,3.26684
160,4.6875,4.71875,0.361365,3.6282
180,4.6875,4.6875,0.362997,3.9912
200,4.59375,4.65625,0.362126,4.35333
20,4.65625,4.9375,1.13648,1.13648
40,4.65625,4.8125,0.373887,1.51037
60,4.65625,4.625,0.346263,1.85663
80,4.65625,4.625,0.346192,2.20282
100,4.65625,4.6875,0.34693,2.54975
120,4.6875,4.65625,0.347033,2.89679
140,4.59375,4.65625,0.346208,3.24299
160,4.6875,4.71875,0.345859,3.58885
180,4.6875,4.6875,0.345467,3.93432
200,4.59375,4.65625,0.353801,4.28812
20,4.65625,4.9375,1.12945,1.12945
40,4.65625,4.8125,0.388823,1.51827
60,4.65625,4.625,0.388228,1.9065
80,4.65625,4.625,0.39009,2.29659
100,4.65625,4.6875,0.376692,2.67328
120,4.6875,4.65625,0.3671,3.04038
140,4.59375,4.65625,0.367401,3.40778
160,4.6875,4.71875,0.366033,3.77381
180,4.6875,4.6875,0.364611,4.13842
200,4.59375,4.65625,0.365564,4.50399
20,4.65625,4.9375,1.10856,1.10856
40,4.65625,4.8125,0.362811,1.47137
60,4.65625,4.625,0.364996,1.83636
80,4.65625,4.625,0.363987,2.20035
100,4.65625,4.6875,0.364797,2.56515
120,4.6875,4.65625,0.377109,2.94226
140,4.59375,4.65625,0.35013,3.29239
160,4.6875,4.71875,0.358027,3.65041
180,4.6875,4.6875,0.341983,3.9924
200,4.59375,4.65625,0.358309,4.35071
20,4.65625,4.9375,1.11704,1.11704
40,4.65625,4.8125,0.343457,1.46049
60,4.65625,4.625,0.361958,1.82245
80,4.65625,4.625,0.369911,2.19236
100,4.65625,4.6875,0.367438,2.5598
120,4.6875,4.65625,0.369108,2.92891
140,4.59375,4.65625,0.367659,3.29657
160,4.6875,4.71875,0.366273,3.66284
180,4.6875,4.6875,0.367018,4.02986
200,4.59375,4.65625,0.367168,4.39703
20,4.65625,4.9375,1.09396,1.09396
40,4.65625,4.78125,0.364115,1.45808
60,4.65625,4.625,0.359755,1.81783
80,4.65625,4.625,0.359837,2.17767
100,4.65625,4.6875,0.362419,2.54009
120,4.6875,4.65625,0.36402,2.90411
140,4.59375,4.625,0.370967,3.27508
160,4.6875,4.71875,0.362078,3.63715
180,4.6875,4.6875,0.371609,4.00876
200,4.5625,4.65625,0.393544,4.40231
20,4.65625,4.9375,1.08425,1.08425
40,4.65625,4.78125,0.343089,1.42734
60,4.65625,4.625,0.34526,1.7726
80,4.65625,4.625,0.345825,2.11843
100,4.65625,4.6875,0.344679,2.46311
120,4.6875,4.65625,0.345476,2.80858
140,4.59375,4.625,0.344168,3.15275
160,4.6875,4.71875,0.343361,3.49611
180,4.6875,4.6875,0.342634,3.83875
200,4.5625,4.65625,0.363985,4.20273
20,4.65625,4.9375,1.09152,1.09152
40,4.65625,4.78125,0.359481,1.451
60,4.65625,4.625,0.363432,1.81443
80,4.65625,4.625,0.36789,2.18232
100,4.65625,4.6875,0.358963,2.54128
120,4.6875,4.65625,0.355871,2.89715
140,4.59375,4.625,0.35832,3.25547
160,4.6875,4.71875,0.361608,3.61708
180,4.6875,4.6875,0.362277,3.97936
200,4.5625,4.65625,0.359807,4.33917
20,4.65625,4.9375,1.10139,1.10139
40,4.65625,4.78125,0.363801,1.46519
