tensor	max_rel_err_l2	step_max_rel_l2	max_rel_err_l1	step_max_rel_l1
b1.bin	0.1183791638503046	step_0001	0.015258595470090997	step_0001
b1_grad.bin	0.05484740734198129	step_0002	0.024809720609538198	step_0002
b2.bin	0.009550013024716772	step_0005	0.008388103214530882	step_0005
b2_grad.bin	0.008443569023169034	step_0009	0.006895428827281282	step_0009
input.bin	0.0	step_0000	0.0	step_0000
linear1_out.bin	0.03271648048317978	step_0006	0.01589618627080179	step_0006
logits.bin	0.017076638900201693	step_0008	0.01573727873596478	step_0008
logits_grad.bin	0.0032176570702770247	step_0009	0.004290969169859565	step_0009
loss.bin	0.006172839506170401	step_0009	0.006172839506170401	step_0009
relu_out.bin	0.03217813940404225	step_0008	0.014697591697346716	step_0008
softmax.bin	0.010680704186095359	step_0009	0.0072563361797219	step_0009
w1.bin	0.009348314462972131	step_0009	0.002176286813679454	step_0009
w1_grad.bin	0.0673319748428278	step_0007	0.02815569347509232	step_0007
w2.bin	0.006211516743346326	step_0009	0.0027991495844831467	step_0009
w2_grad.bin	0.035714812730566835	step_0008	0.016626392944594597	step_0008
