step	loss
0	0.00131226
1	0.00115204
2	0.00094223
3	0.000648499
4	0.000549316
5	0.000549316
6	0.000534058
7	0.000511169
8	0.000495911
9	0.000484467
10	0.000473022
11	0.000465393
12	0.000463486
13	0.000457764
14	0.000450134
15	0.000442505
16	0.000436783
17	0.000432968
18	0.000429153
19	0.000425339
20	0.000421524
21	0.000417709
22	0.000415802
23	0.000411987
24	0.00041008
25	0.000408173
26	0.000404358
27	0.000402451
28	0.000400543
29	0.000398636
30	0.000398636
31	0.000396729
32	0.000394821
33	0.000392914
34	0.000391006
35	0.000389099
36	0.000389099
37	0.000387192
38	0.000385284
39	0.000385284
40	0.000383377
41	0.000383377
42	0.00038147
43	0.000379562
44	0.000379562
45	0.000377655
46	0.000375748
47	0.000375748
48	0.00037384
49	0.00037384
