tensor	max_rel_err_l2	step_max_rel_l2	max_rel_err_l1	step_max_rel_l1
b1.bin	0.11837519033637244	step_0001	0.015320184150091365	step_0001
b1_grad.bin	0.05765148001776457	step_0002	0.029147243716717106	step_0002
b2.bin	0.00988238633913955	step_0003	0.008169664961126356	step_0003
b2_grad.bin	0.00963441401050858	step_0009	0.007595555012813973	step_0009
input.bin	0.0	step_0000	0.0	step_0000
linear1_out.bin	0.035957574082013284	step_0008	0.018063321775641523	step_0008
logits.bin	0.017032554201378388	step_0008	0.01589461124012288	step_0008
logits_grad.bin	0.0034488730277837487	step_0009	0.004590749919467141	step_0009
loss.bin	0.006172839506170401	step_0009	0.006172839506170401	step_0009
relu_out.bin	0.03251474589672524	step_0008	0.015541467411961342	step_0008
softmax.bin	0.011124620894016274	step_0009	0.007535792870134428	step_0009
w1.bin	0.009887994665800209	step_0009	0.0023159537001635195	step_0009
w1_grad.bin	0.06825024124037375	step_0008	0.024914667562893615	step_0008
w2.bin	0.00626038444088031	step_0009	0.0028862596321677287	step_0009
w2_grad.bin	0.03581869664227367	step_0008	0.017154275860507814	step_0008
