step	loss
0	3.65625
1	3.5
2	3.35938
3	3.28125
4	3.15625
5	3.04688
6	3
7	2.875
8	2.70312
9	2.54688
10	2.54688
11	2.40625
12	2.21875
13	2.14062
14	2.14062
15	1.98438
16	1.85156
17	1.67188
18	1.86719
19	1.6875
20	1.53906
21	1.63281
22	1.60938
23	1.54688
24	1.36719
25	1.21094
26	1.46094
27	1.28125
28	1.10156
29	1.27344
30	1.17969
31	1.29688
32	0.957031
33	0.894531
34	1.14844
35	0.96875
36	0.738281
37	1
38	0.882812
39	1.07812
40	0.695312
41	0.660156
42	0.929688
43	0.699219
44	0.519531
45	0.800781
46	0.671875
47	0.914062
48	0.515625
49	0.515625
50	0.761719
51	0.527344
52	0.382812
53	0.652344
54	0.519531
55	0.792969
56	0.388672
57	0.417969
58	0.636719
59	0.412109
60	0.289062
61	0.546875
62	0.423828
63	0.683594
64	0.300781
65	0.349609
66	0.53125
67	0.324219
68	0.227539
69	0.458984
70	0.351562
71	0.589844
72	0.236328
73	0.298828
74	0.435547
75	0.263672
76	0.183594
77	0.384766
78	0.296875
79	0.503906
80	0.188477
81	0.25
82	0.359375
83	0.213867
84	0.154297
85	0.322266
86	0.249023
87	0.419922
88	0.154297
89	0.214844
90	0.294922
91	0.179688
92	0.125
93	0.273438
94	0.216797
95	0.357422
96	0.123535
97	0.18457
98	0.239258
99	0.152344
